t,transactions_transfers_volume_miners_net
2011-10-06,-1840.9807805569908
2011-10-07,661.9044540939103
2011-10-08,267.9998387769301
2011-10-09,-1632.4472520856089
2011-10-10,-978.6173701437192
2011-10-11,365.10740973846987
2011-10-12,72.49748603964963
2011-10-13,-702.5372814133698
2011-10-14,435.83807599827924
2011-10-15,1607.16309766845
2011-10-16,-2356.4397530611395
2011-10-17,-2324.2638012042707
2011-10-18,-678.70972069045
2011-10-19,1579.4770433330523
2011-10-20,-836.6244830875203
2011-10-21,-398.70101589147
2011-10-22,-1842.3005429310006
2011-10-23,-309.8017863448604
2011-10-24,1436.2298020517892
2011-10-25,1686.9826338587109
2011-10-26,1195.2114755490902
2011-10-27,-2843.1686264642703
2011-10-28,1039.2583374827
2011-10-29,-173.55994043792998
2011-10-30,-865.0164049848408
2011-10-31,1475.6520163084006
2011-11-01,-1162.31296595202
2011-11-02,1884.6618625966594
2011-11-03,-2913.9208831575997
2011-11-04,-2432.3262830141994
2011-11-05,1493.2492697270118
2011-11-06,1558.6214640380495
2011-11-07,871.8825658892911
2011-11-08,1790.69206344943
2011-11-09,-3936.7918944429966
2011-11-10,-756.9347661388492
2011-11-11,-2502.322969078059
2011-11-12,-4405.7929519959
2011-11-13,-1333.5704311842383
2011-11-14,-6433.270409618801
2011-11-15,-3222.18926283138
2011-11-16,-847.4957439980808
2011-11-17,-5754.266979122602
2011-11-18,758.9624123912799
2011-11-19,20.521932183208264
2011-11-20,-2196.4260631655998
2011-11-21,1061.1570419517193
2011-11-22,-6793.530357215002
2011-11-23,1405.1383694917304
2011-11-24,-6678.699235407699
2011-11-25,-88.19130041639073
2011-11-26,-1535.9958719858705
2011-11-27,936.0649627965804
2011-11-28,-1869.4760510070882
2011-11-29,-4510.120836574601
2011-11-30,-3269.676732259497
2011-12-01,260.34403047080013
2011-12-02,1231.0606354115698
2011-12-03,1261.4626582569617
2011-12-04,-2819.7897751344008
2011-12-05,-986.2968656537814
2011-12-06,2481.91695366111
2011-12-07,1229.8193089819197
2011-12-08,-2697.215708121699
2011-12-09,1639.29006729514
2011-12-10,-467.1386746119897
2011-12-11,-6703.1791466951
2011-12-12,1230.0760597403305
2011-12-13,772.98469248722
2011-12-14,805.0411243849303
2011-12-15,-5071.693039107699
2011-12-16,-3095.493898721529
2011-12-17,2268.15885771969
2011-12-18,828.8144998661901
2011-12-19,-4845.683245911599
