t,transactions_transfers_to_exchanges_count
2014-12-28,6768
2014-12-29,5608
2014-12-30,6810
2014-12-31,6035
2015-01-01,4964
2015-01-02,6714
2015-01-03,6974
2015-01-04,8140
2015-01-05,6728
2015-01-06,5610
2015-01-07,5541
2015-01-08,6875
2015-01-09,6927
2015-01-10,6969
2015-01-11,7215
2015-01-12,6541
2015-01-13,8046
2015-01-14,8030
2015-01-15,10263
2015-01-16,8327
2015-01-17,6654
2015-01-18,7045
2015-01-19,6631
2015-01-20,6625
2015-01-21,7204
2015-01-22,6483
2015-01-23,6019
2015-01-24,5899
2015-01-25,7720
2015-01-26,8506
2015-01-27,6965
2015-01-28,5939
2015-01-29,6936
2015-01-30,5916
2015-01-31,6145
2015-02-01,7112
2015-02-02,6106
2015-02-03,6440
2015-02-04,6272
2015-02-05,5589
2015-02-06,6355
2015-02-07,5467
2015-02-08,6826
2015-02-09,5847
2015-02-10,5799
2015-02-11,6533
2015-02-12,9085
2015-02-13,16081
2015-02-14,8713
2015-02-15,8456
2015-02-16,8123
2015-02-17,10248
2015-02-18,8227
2015-02-19,6648
2015-02-20,7054
2015-02-21,6278
2015-02-22,6877
2015-02-23,7096
2015-02-24,6978
2015-02-25,6303
2015-02-26,6091
2015-02-27,6825
2015-02-28,6097
2015-03-01,6524
2015-03-02,7360
2015-03-03,6958
2015-03-04,6818
2015-03-05,6739
2015-03-06,6265
2015-03-07,5516
2015-03-08,6167
2015-03-09,7680
2015-03-10,7116
2015-03-11,6889
2015-03-12,6033
2015-03-13,6318
2015-03-14,5955
2015-03-15,6468
2015-03-16,7506
2015-03-17,6305
2015-03-18,6833
2015-03-19,6381
2015-03-20,6141
2015-03-21,7166
2015-03-22,6946
2015-03-23,7314
2015-03-24,6883
2015-03-25,6656
2015-03-26,6415
2015-03-27,6909
2015-03-28,6556
2015-03-29,7548
2015-03-30,8283
2015-03-31,8712
2015-04-01,8196
2015-04-02,7861
2015-04-03,7446
2015-04-04,7051
2015-04-05,7628
2015-04-06,7710
2015-04-07,8189
2015-04-08,7877
2015-04-09,8367
2015-04-10,9404
2015-04-11,9367
2015-04-12,8159
2015-04-13,8283
2015-04-14,7929
2015-04-15,7371
2015-04-16,7190
2015-04-17,7413
2015-04-18,7390
2015-04-19,7286
2015-04-20,8035
2015-04-21,7269
2015-04-22,7837
2015-04-23,7389
2015-04-24,7338
2015-04-25,7622
2015-04-26,7980
2015-04-27,8219
2015-04-28,7479
2015-04-29,7532
2015-04-30,7737
2015-05-01,6441
2015-05-02,6597
2015-05-03,6584
2015-05-04,7598
2015-05-05,7106
2015-05-06,7101
2015-05-07,7524
2015-05-08,7696
2015-05-09,7218
2015-05-10,6747
2015-05-11,7792
2015-05-12,7086
2015-05-13,7375
2015-05-14,6594
2015-05-15,6754
2015-05-16,6681
2015-05-17,6346
2015-05-18,6862
2015-05-19,7069
2015-05-20,6949
2015-05-21,7233
2015-05-22,8067
2015-05-23,7353
2015-05-24,8337
2015-05-25,8039
2015-05-26,7145
2015-05-27,6687
2015-05-28,6782
2015-05-29,8229
2015-05-30,7720
2015-05-31,6956
2015-06-01,8250
2015-06-02,7500
2015-06-03,7476
2015-06-04,7112
2015-06-05,7053
2015-06-06,6666
2015-06-07,6896
2015-06-08,8053
2015-06-09,7563
2015-06-10,7308
2015-06-11,6852
2015-06-12,7117
2015-06-13,6689
2015-06-14,7278
2015-06-15,8066
2015-06-16,7827
2015-06-17,8983
2015-06-18,7692
2015-06-19,8587
2015-06-20,7149
2015-06-21,7898
2015-06-22,7191
2015-06-23,8078
2015-06-24,7171
2015-06-25,7402
2015-06-26,7457
2015-06-27,7926
2015-06-28,7624
2015-06-29,8910
2015-06-30,8688
2015-07-01,9093
2015-07-02,9286
2015-07-03,7831
2015-07-04,7117
2015-07-05,7561
2015-07-06,8431
2015-07-07,6747
2015-07-08,6202
2015-07-09,8021
2015-07-10,8524
2015-07-11,7158
2015-07-12,6715
2015-07-13,8432
2015-07-14,7144
2015-07-15,6971
2015-07-16,7358
2015-07-17,6502
2015-07-18,6998
2015-07-19,6943
2015-07-20,6679
2015-07-21,7044
2015-07-22,6890
2015-07-23,6484
2015-07-24,7161
2015-07-25,6887
2015-07-26,6619
2015-07-27,7640
2015-07-28,7420
2015-07-29,7316
2015-07-30,6649
2015-07-31,7542
2015-08-01,7245
2015-08-02,7365
2015-08-03,8292
2015-08-04,7296
2015-08-05,7322
2015-08-06,7323
2015-08-07,7560
2015-08-08,8254
2015-08-09,7543
2015-08-10,8099
2015-08-11,7477
2015-08-12,8370
2015-08-13,8266
2015-08-14,8684
2015-08-15,7561
2015-08-16,8099
2015-08-17,7863
2015-08-18,8870
2015-08-19,9466
2015-08-20,9192
2015-08-21,8035
2015-08-22,8333
2015-08-23,8053
