t,addresses_accumulation_balance
2011-11-02,1460867.1833182
2011-11-03,1463924.72510025
2011-11-04,1463158.65439416
2011-11-05,1461501.68256741
2011-11-06,1463359.10093608
2011-11-07,1466043.44439342
2011-11-08,1469441.51633635
2011-11-09,1460402.43848785
2011-11-10,1459819.2448078
2011-11-11,1462391.14977938
2011-11-12,1464260.39450209
2011-11-13,1461703.03326446
2011-11-14,1464327.99417945
2011-11-15,1468205.33686473
2011-11-16,1220073.41445065
2011-11-17,1219085.54390294
2011-11-18,1227553.70186884
2011-11-19,1228887.72705912
2011-11-20,1230811.27495054
2011-11-21,1231071.67190459
2011-11-22,1232403.2740079
2011-11-23,1236669.94260092
2011-11-24,1244980.81072002
2011-11-25,1243274.63220005
2011-11-26,1245354.32771041
2011-11-27,1247894.78147201
2011-11-28,1244811.81301921
2011-11-29,1249289.56807118
2011-11-30,1252582.99720138
2011-12-01,1254426.67806843
2011-12-02,1255634.75414329
2011-12-03,1248730.24013577
2011-12-04,1249377.50463933
2011-12-05,1250751.27328217
2011-12-06,1251203.33628102
2011-12-07,1252784.97725497
2011-12-08,1266206.32665127
2011-12-09,1253935.49190878
2011-12-10,1257536.62744328
2011-12-11,1262829.39758003
2011-12-12,1262143.41712461
2011-12-13,1260280.69872654
2011-12-14,1259596.49853732
2011-12-15,1253207.5169972
2011-12-16,1260350.6078166
2011-12-17,1260686.21904401
2011-12-18,1263683.95590747
2011-12-19,1274616.39638654
2011-12-20,1298224.28036065
2011-12-21,1305563.6385016
2011-12-22,1285116.18510222
2011-12-23,1290850.28595668
2011-12-24,1297037.54565644
2011-12-25,1295562.33043849
2011-12-26,1299223.44404035
2011-12-27,1301673.94515106
2011-12-28,1303768.49655817
2011-12-29,1312631.30427617
2011-12-30,1316342.41274681
2011-12-31,1315254.79855082
2012-01-01,1320589.60887997
2012-01-02,1318578.6666579
2012-01-03,1316113.11047583
2012-01-04,1321994.60892518
2012-01-05,1308522.88248862
2012-01-06,1321311.66306606
2012-01-07,1324730.21974996
2012-01-08,1330944.84194032
2012-01-09,1333381.08284375
2012-01-10,1328380.40908439
2012-01-11,1326771.90045982
2012-01-12,1318195.17052046
2012-01-13,1329337.12478038
2012-01-14,1327419.75502996
2012-01-15,1327936.309688
2012-01-16,1327074.58995791
2012-01-17,1313284.05757422
2012-01-18,1312598.76894337
2012-01-19,1314271.15262934
2012-01-20,1317947.00217186
2012-01-21,1316003.56572284
2012-01-22,1314728.66153201
2012-01-23,1315795.19282607
2012-01-24,1319480.73145486
2012-01-25,1312669.17925848
2012-01-26,1294887.40702168
2012-01-27,1295783.18436705
2012-01-28,1295548.42256852
2012-01-29,1295773.190019
2012-01-30,1296490.87650005
2012-01-31,1294406.53437587
2012-02-01,1294676.41546821
2012-02-02,1297562.91734868
2012-02-03,1299404.99903294
2012-02-04,1299468.86429994
2012-02-05,1302254.19060581
2012-02-06,1312547.61040988
2012-02-07,1314335.42598452
2012-02-08,1323908.3443489
2012-02-09,1325049.18404997
2012-02-10,1330714.68963483
2012-02-11,1344566.45534722
2012-02-12,1342977.80044574
2012-02-13,1297658.64524545
2012-02-14,1466560.84856434
2012-02-15,1309040.26605508
2012-02-16,1315922.45745026
2012-02-17,1322658.883065
2012-02-18,1329677.98972346
2012-02-19,1333797.36529094
2012-02-20,1329552.37910163
2012-02-21,1381409.92179494
2012-02-22,1382839.39907603
2012-02-23,1374472.30421945
2012-02-24,1366218.10379253
2012-02-25,1363289.24263424
2012-02-26,1363033.44479725
2012-02-27,1364322.56986806
2012-02-28,1364853.23271787
2012-02-29,1371108.2220948
2012-03-01,1390631.99266838
2012-03-02,1394519.81586334
2012-03-03,1396230.19938602
2012-03-04,1385314.98730993
2012-03-05,1385520.62519386
2012-03-06,1387458.53677628
2012-03-07,1388749.72308739
2012-03-08,1392639.66959196
2012-03-09,1398023.44344314
2012-03-10,1397461.11474509
2012-03-11,1402509.26551061
2012-03-12,1400388.19370788
2012-03-13,1404704.55192497
2012-03-14,1432697.14286157
2012-03-15,1430264.6341446
2012-03-16,1432060.10100723
2012-03-17,1421954.41358843
2012-03-18,1417306.80019732
2012-03-19,1420856.90031091
2012-03-20,1414277.55546407
2012-03-21,1362946.61283796
2012-03-22,1336320.95387711
2012-03-23,1287551.71710067
2012-03-24,1295050.60439285
2012-03-25,1290174.69186771
2012-03-26,1293110.45397328
2012-03-27,1293514.98281226
2012-03-28,1296899.22769464
2012-03-29,1283671.91011695
2012-03-30,1284340.07647158
2012-03-31,1284931.30851553
2012-04-01,1287082.73448823
2012-04-02,1288701.75584125
2012-04-03,1235957.75234602
2012-04-04,1231635.77714976
2012-04-05,1236374.65159394
2012-04-06,1234641.9970532
2012-04-07,1237822.52893369
2012-04-08,1242479.26222069
2012-04-09,1243543.8486311
2012-04-10,1249630.14991371
2012-04-11,1266657.21033351
2012-04-12,1268237.68241545
2012-04-13,1265777.55837912
2012-04-14,1264253.9747874
2012-04-15,1267905.3577292
2012-04-16,1274688.13252831
2012-04-17,1279774.21558895
2012-04-18,1286393.93904203
2012-04-19,1292957.90325419
2012-04-20,1295701.47973283
2012-04-21,1297895.716297
2012-04-22,1297435.28541893
2012-04-23,1287159.08807768
2012-04-24,1289887.70676254
2012-04-25,1308422.81502036
2012-04-26,1312113.77528622
2012-04-27,1309704.42252756
2012-04-28,1309703.68700931
2012-04-29,1308117.0570681
2012-04-30,1309244.46366588
2012-05-01,1313534.04391691
2012-05-02,1318163.21927795
2012-05-03,1321446.1131037
2012-05-04,1317069.62756695
2012-05-05,1333936.9771984
2012-05-06,1415253.23944494
2012-05-07,1392759.06931215
2012-05-08,1394298.19393416
2012-05-09,1396814.55278647
2012-05-10,1398486.39964322
2012-05-11,1439634.70791648
2012-05-12,1446555.67288266
2012-05-13,1440035.93932074
2012-05-14,1441898.18657438
2012-05-15,1446807.98271668
2012-05-16,1446263.64579009
2012-05-17,1451968.18029571
2012-05-18,1433909.68089439
2012-05-19,1439219.26673584
2012-05-20,1445925.68814746
2012-05-21,1399060.15417709
2012-05-22,1405588.90103
2012-05-23,1413848.1257072
2012-05-24,1408699.13822638
2012-05-25,1394390.85926419
2012-05-26,1399375.93190453
2012-05-27,1400813.24880673
2012-05-28,1404670.63023727
2012-05-29,1408167.12239562
2012-05-30,1403186.02680871
2012-05-31,1405967.85200899
2012-06-01,1408711.98714455
2012-06-02,1410698.14612805
2012-06-03,1412191.61311602
2012-06-04,1435623.59557165
2012-06-05,1445446.5882559
2012-06-06,1437936.03154538
2012-06-07,1440955.69413808
2012-06-08,1445280.47128858
2012-06-09,1455501.08823852
2012-06-10,1461848.35656087
2012-06-11,1435576.0561836
2012-06-12,1432639.36138275
2012-06-13,1435049.06143115
2012-06-14,1438878.5313661
2012-06-15,1446808.08292346
2012-06-16,1489992.29887368
2012-06-17,1479252.4178175
2012-06-18,1484662.29076551
2012-06-19,1487230.3334923
2012-06-20,1475569.62828478
2012-06-21,1481526.2767312
2012-06-22,1617984.23324473
2012-06-23,1626505.04755963
2012-06-24,1613816.37341078
2012-06-25,1609131.85568496
2012-06-26,1604444.38608553
2012-06-27,1612153.74116862
2012-06-28,1617064.76695871
2012-06-29,1616419.82532548
2012-06-30,1616203.41084192
2012-07-01,1619286.29390078
2012-07-02,1625123.90099938
2012-07-03,1631452.25979507
2012-07-04,1636401.81244025
2012-07-05,1652912.63696214
2012-07-06,1660810.12605891
2012-07-07,1665896.69188056
2012-07-08,1678049.0783861
2012-07-09,1684667.37573217
2012-07-10,1679666.48254454
2012-07-11,1678723.35205023
2012-07-12,1679297.28308838
2012-07-13,1693459.43768335
2012-07-14,1733607.05442914
2012-07-15,2140081.33003302
2012-07-16,2119767.2165138
2012-07-17,2134464.45101094
2012-07-18,2134014.01645381
2012-07-19,2077970.86370034
2012-07-20,2075424.26059292
2012-07-21,2058400.42551701
2012-07-22,2048666.08288185
2012-07-23,2107640.12786521
2012-07-24,2118819.90064947
2012-07-25,2125929.32079238
2012-07-26,2128239.34817076
2012-07-27,2121836.93916006
2012-07-28,2125090.21034349
2012-07-29,2144090.41993758
2012-07-30,2150816.05741994
2012-07-31,2148635.55484557
2012-08-01,2134610.23202124
2012-08-02,2055627.89395693
2012-08-03,2059360.28475416
2012-08-04,2058944.48055657
2012-08-05,2055520.24131371
2012-08-06,2062953.75888972
2012-08-07,2060257.64185771
2012-08-08,2051537.76489647
2012-08-09,2044116.38121271
2012-08-10,2046206.06017952
2012-08-11,2050152.60224354
2012-08-12,2049403.13373588
2012-08-13,2049737.79107172
2012-08-14,2055075.84389961
