t,addresses_non_zero_count
2013-02-10,1200056
2013-02-11,1199625
2013-02-12,1201580
2013-02-13,1201383
2013-02-14,1201067
2013-02-15,1202771
2013-02-16,1205661
2013-02-17,1208677
2013-02-18,1212981
2013-02-19,1216613
2013-02-20,1218672
2013-02-21,1222454
2013-02-22,1226747
2013-02-23,1231485
2013-02-24,1237585
2013-02-25,1241028
2013-02-26,1245348
2013-02-27,1248407
2013-02-28,1251856
2013-03-01,1256759
2013-03-02,1259357
2013-03-03,1261556
2013-03-04,1263786
2013-03-05,1268632
2013-03-06,1272650
2013-03-07,1274365
2013-03-08,1277186
2013-03-09,1278877
2013-03-10,1283998
2013-03-11,1284057
2013-03-12,1282856
2013-03-13,1285032
2013-03-14,1285415
2013-03-15,1289210
2013-03-16,1292950
2013-03-17,1298129
2013-03-18,1302275
2013-03-19,1304469
2013-03-20,1309136
2013-03-21,1309089
2013-03-22,1311947
2013-03-23,1311025
2013-03-24,1316413
2013-03-25,1321228
2013-03-26,1324924
2013-03-27,1330785
2013-03-28,1324349
2013-03-29,1328995
2013-03-30,1334630
2013-03-31,1339219
2013-04-01,1340995
2013-04-02,1344830
2013-04-03,1352161
2013-04-04,1356188
2013-04-05,1364879
2013-04-06,1369396
2013-04-07,1374785
2013-04-08,1391064
2013-04-09,1399835
2013-04-10,1413274
2013-04-11,1419797
2013-04-12,1424177
2013-04-13,1430759
2013-04-14,1435929
2013-04-15,1446737
2013-04-16,1452753
2013-04-17,1461928
2013-04-18,1465013
2013-04-19,1470341
2013-04-20,1474391
2013-04-21,1478853
2013-04-22,1489024
2013-04-23,1494555
2013-04-24,1498880
2013-04-25,1504674
2013-04-26,1511467
2013-04-27,1521442
2013-04-28,1569241
2013-04-29,1574428
2013-04-30,1575864
2013-05-01,1582011
2013-05-02,1585072
2013-05-03,1587719
2013-05-04,1592548
2013-05-05,1596748
2013-05-06,1599330
2013-05-07,1608756
2013-05-08,1615943
2013-05-09,1620858
2013-05-10,1626061
2013-05-11,1627064
2013-05-12,1632383
2013-05-13,1637480
2013-05-14,1641951
2013-05-15,1644774
2013-05-16,1651727
2013-05-17,1653468
2013-05-18,1657083
2013-05-19,1659703
2013-05-20,1662376
2013-05-21,1665525
2013-05-22,1669549
2013-05-23,1672808
2013-05-24,1673457
2013-05-25,1672423
2013-05-26,1671132
2013-05-27,1673997
2013-05-28,1677158
2013-05-29,1679554
2013-05-30,1681527
2013-05-31,1684014
2013-06-01,1685749
2013-06-02,1685813
2013-06-03,1684752
2013-06-04,1685436
2013-06-05,1686670
2013-06-06,1688525
2013-06-07,1688802
2013-06-08,1689553
2013-06-09,1690039
2013-06-10,1692229
2013-06-11,1697166
2013-06-12,1699666
2013-06-13,1702870
2013-06-14,1704510
2013-06-15,1704987
2013-06-16,1706079
2013-06-17,1709731
2013-06-18,1712640
2013-06-19,1715260
2013-06-20,1715756
2013-06-21,1716449
2013-06-22,1717485
2013-06-23,1717448
2013-06-24,1718963
2013-06-25,1721900
2013-06-26,1725053
2013-06-27,1728351
2013-06-28,1729296
2013-06-29,1731321
2013-06-30,1733516
2013-07-01,1735364
2013-07-02,1736334
2013-07-03,1739728
2013-07-04,1742541
2013-07-05,1745283
2013-07-06,1742796
2013-07-07,1743537
2013-07-08,1746720
2013-07-09,1748075
2013-07-10,1751937
2013-07-11,1754804
2013-07-12,1757028
