t,o
2012-08-27,"{'bitstamp': 3979.03435273, 'coinbase': 20.55775833}"
2012-08-28,"{'bitstamp': 2465.42773095, 'coinbase': 21.64705543}"
2012-08-29,"{'bitstamp': 540.23439905, 'coinbase': 24.14355543}"
2012-08-30,"{'bitstamp': 2738.24452243, 'coinbase': 22.43415437}"
2012-08-31,"{'bitstamp': 2865.11477059, 'coinbase': 25.45979686}"
2012-09-01,"{'bitstamp': 2557.40982273, 'coinbase': 23.97903775}"
2012-09-02,"{'bitstamp': 2419.1841271, 'coinbase': 24.01122153}"
2012-09-03,"{'bitstamp': 3539.90276618, 'coinbase': 23.96676006}"
2012-09-04,"{'bitstamp': 2572.92624629, 'coinbase': 24.22569879}"
2012-09-05,"{'bitstamp': 1383.2540217, 'coinbase': 24.71240881}"
2012-09-06,"{'bitstamp': 1710.29809164, 'coinbase': 25.19351007}"
2012-09-07,"{'bitstamp': 3146.14408582, 'coinbase': 16.25635919}"
2012-09-08,"{'bitstamp': 927.75817995, 'coinbase': 16.08338767}"
2012-09-09,"{'bitstamp': 90.33219826, 'coinbase': 15.98765282}"
2012-09-10,"{'bitstamp': 1189.57705906, 'coinbase': 16.03471447}"
2012-09-11,"{'bitstamp': 24.040029, 'coinbase': 15.99353307}"
2012-09-12,"{'bitstamp': 723.2573732, 'coinbase': 17.04327874}"
2012-09-13,"{'bitstamp': 1068.77085224, 'coinbase': 17.37174891}"
2012-09-14,"{'bitstamp': 542.84880374, 'coinbase': 19.1139235}"
2012-09-15,"{'bitstamp': 702.34456722, 'coinbase': 19.36294066}"
2012-09-16,"{'bitstamp': 21.17300413, 'coinbase': 18.13597816}"
2012-09-17,"{'bitstamp': 125.58082559, 'coinbase': 18.06818918}"
2012-09-18,"{'bitstamp': 691.62460267, 'coinbase': 19.05415991}"
2012-09-19,"{'bitstamp': 1282.18857996, 'coinbase': 21.89420805}"
2012-09-20,"{'bitstamp': 1305.26290717, 'coinbase': 22.12425755}"
2012-09-21,"{'bitstamp': 174.05844926, 'coinbase': 23.31095823}"
2012-09-22,"{'bitstamp': 739.37670116, 'coinbase': 23.23481765}"
2012-09-23,"{'bitstamp': 1177.15744869, 'coinbase': 23.22132013}"
2012-09-24,"{'bitstamp': 7.55956113, 'coinbase': 20.34045871}"
2012-09-25,"{'bitstamp': 158.808094, 'coinbase': 80.56761123}"
2012-09-26,"{'bitstamp': 991.84537732, 'coinbase': 25.30692085}"
2012-09-27,"{'bitstamp': 382.8358375, 'coinbase': 26.15663226}"
2012-09-28,"{'bitstamp': 12.48722039, 'coinbase': 26.50656945}"
2012-09-29,"{'bitstamp': 215.43582638, 'coinbase': 26.36863672}"
2012-09-30,"{'bitstamp': 342.9327313, 'coinbase': 27.51535147}"
2012-10-01,"{'bitstamp': 869.96237127, 'coinbase': 27.69760672}"
2012-10-02,"{'bitstamp': 1586.67305813, 'coinbase': 27.0647688}"
2012-10-03,"{'bitstamp': 1226.53738609, 'coinbase': 27.02002301}"
2012-10-04,"{'bitstamp': 1954.73692464, 'coinbase': 28.77514387}"
2012-10-05,"{'bitstamp': 2390.65582487, 'coinbase': 23.80221544}"
2012-10-06,"{'bitstamp': 3231.71599307, 'coinbase': 10.88227128}"
2012-10-07,"{'bitstamp': 4978.94460072, 'coinbase': 10.56755535}"
2012-10-08,"{'bitstamp': 157.6968013, 'coinbase': 11.93834692}"
2012-10-09,"{'bitfinex': 2, 'bitstamp': 164.97535835, 'coinbase': 10.9190731}"
2012-10-10,"{'bitfinex': 2, 'bitstamp': 735.48407345, 'coinbase': 11.50824909}"
2012-10-11,"{'bitfinex': 2, 'bitstamp': 249.5219685, 'coinbase': 11.6651206}"
2012-10-12,"{'bitfinex': 0.9998, 'bitstamp': 1029.18410049, 'coinbase': 12.61748858}"
2012-10-13,"{'bitfinex': 0.9998, 'bitstamp': 1474.54191117, 'coinbase': 11.82758193}"
2012-10-14,"{'bitfinex': 0.9998, 'bitstamp': 2113.85377196, 'coinbase': 12.20530546}"
2012-10-15,"{'bitfinex': 0.9998, 'bitstamp': 7.15261285, 'coinbase': 13.28464093}"
2012-10-16,"{'bitfinex': 0.9998, 'bitstamp': 2085.77284363, 'coinbase': 23.23220105}"
2012-10-17,"{'bitfinex': 1.4998, 'bitstamp': 883.88710571, 'coinbase': 12.39483763}"
2012-10-18,"{'bitfinex': 11.9998, 'bitstamp': 2127.91179649, 'coinbase': 12.61972899}"
2012-10-19,"{'bitfinex': 10.9993, 'bitstamp': 432.32752774, 'coinbase': 12.76728012}"
2012-10-20,"{'bitfinex': 10.9993, 'bitstamp': 290.65074733, 'coinbase': 13.95280056}"
