t,transactions_transfers_volume_entity_adjusted_sum
2011-06-27,781912.53258258
2011-06-28,510335.80359366
2011-06-29,343769.63374412
2011-06-30,551367.61624887
2011-07-01,408941.96364167
2011-07-02,392856.75028547
2011-07-03,282892.22575423
2011-07-04,330824.73656018
2011-07-05,215516.77076377
2011-07-06,270828.84678781
2011-07-07,230138.08201859
2011-07-08,123957.18009767
2011-07-09,232590.96648419
2011-07-10,161303.97704971
2011-07-11,179641.79836846
2011-07-12,342447.2192388
2011-07-13,278075.79022372
2011-07-14,177990.63920454
2011-07-15,130010.72387057
2011-07-16,176501.84258546
2011-07-17,129810.60091493
2011-07-18,710820.43371219
2011-07-19,217507.16447901
2011-07-20,267301.14446224
2011-07-21,156238.06645974
2011-07-22,178394.95274
2011-07-23,112670.65289921
2011-07-24,172657.85253834
2011-07-25,201104.62972333
2011-07-26,163049.49610083
2011-07-27,195660.39932221
2011-07-28,176539.00136578
2011-07-29,244162.0319285
2011-07-30,152492.08650772
2011-07-31,253774.84680172
2011-08-01,270790.73368168
2011-08-02,175252.08657773
2011-08-03,193944.27441231
2011-08-04,163373.33671509
2011-08-05,273010.59377294
2011-08-06,224739.13606965
2011-08-07,191985.38495084
2011-08-08,485650.11380535
2011-08-09,415360.80893473
2011-08-10,263240.19476435
2011-08-11,238970.4389161
2011-08-12,136796.72634495
2011-08-13,137115.76102621
2011-08-14,164662.28537948
2011-08-15,120194.12508433
2011-08-16,146351.26614146
2011-08-17,177777.52764042
2011-08-18,116444.88793999
2011-08-19,179539.49639094
2011-08-20,97427.33437044
2011-08-21,95679.95670132
2011-08-22,114866.70813493
2011-08-23,111672.30103103
2011-08-24,124645.254717
2011-08-25,176738.40871004
2011-08-26,138800.23426484
2011-08-27,766866.03786284
2011-08-28,91356.93347518
2011-08-29,108018.90665486
2011-08-30,104007.03929961
2011-08-31,124882.91210347
2011-09-01,128377.54348663
2011-09-02,107931.77204737
2011-09-03,81034.51345369
2011-09-04,115963.86134439
2011-09-05,136522.8144182
2011-09-06,138576.61373424
2011-09-07,164221.36100297
2011-09-08,99734.54793051
2011-09-09,190949.71612599
2011-09-10,113963.54027345
2011-09-11,819357.13615105
2011-09-12,116545.61616771
2011-09-13,178329.36498782
2011-09-14,148542.02113071
2011-09-15,156555.89519045
2011-09-16,255573.14971218
2011-09-17,191802.71925397
2011-09-18,159501.27449087
2011-09-19,131678.04781049
2011-09-20,168045.27829384
2011-09-21,173340.40076205
2011-09-22,128788.48692765
2011-09-23,171888.94163896
2011-09-24,126655.55921875
2011-09-25,129292.35986629
2011-09-26,124695.43505119
2011-09-27,150053.7558312
2011-09-28,141755.83935866
2011-09-29,139362.86319404
2011-09-30,137430.27296738
2011-10-01,134661.52556074
2011-10-02,111243.07504223
2011-10-03,133941.11303003
2011-10-04,153537.34134654
2011-10-05,161083.3371839
2011-10-06,218550.19496225
2011-10-07,197251.05155157
2011-10-08,142984.14532322
2011-10-09,132722.69835099
2011-10-10,158160.02250326
2011-10-11,192966.02628679
2011-10-12,184787.31736677
2011-10-13,192484.31253326
2011-10-14,141419.81727687
2011-10-15,137021.36961452
2011-10-16,135720.99975337
2011-10-17,238638.43749856
2011-10-18,186935.33680756
2011-10-19,202200.06591795
2011-10-20,172427.92115671
2011-10-21,288636.73078911
2011-10-22,299364.28834538
2011-10-23,269322.99532968
2011-10-24,242877.01320304
2011-10-25,226503.0137305
2011-10-26,224540.54242978
2011-10-27,305960.84417769
2011-10-28,277647.19126636
2011-10-29,319218.12776256
2011-10-30,141953.74248001
2011-10-31,196220.74816942
2011-11-01,317266.85607348
2011-11-02,250434.96518202
2011-11-03,254606.51795691
2011-11-04,289223.59042957
2011-11-05,169425.26841301
2011-11-06,137951.96992706
2011-11-07,167020.62876284
2011-11-08,455153.37088084
2011-11-09,646617.56008146
2011-11-10,241807.53079397
2011-11-11,205328.31454626
2011-11-12,158912.89389437
2011-11-13,142370.49674824
2011-11-14,239131.73252514
2011-11-15,231493.73535218
2011-11-16,1297344.91857563
2011-11-17,1493137.4387531
2011-11-18,3986646.27964281
2011-11-19,3390686.34156782
2011-11-20,1373627.72131756
2011-11-21,898241.7366249
2011-11-22,2891892.85303146
2011-11-23,901918.58397495
2011-11-24,1369638.30801258
2011-11-25,858335.57422093
2011-11-26,1348894.09229479
2011-11-27,1223207.02192409
2011-11-28,3611290.74885974
2011-11-29,3660707.73035211
2011-11-30,5228064.01286471
2011-12-01,828076.80964956
2011-12-02,1641688.870401
2011-12-03,1507804.40872714
2011-12-04,1047873.96323334
2011-12-05,1063562.7291413
2011-12-06,3694902.30695942
2011-12-07,3285054.91885355
2011-12-08,2255915.19105635
2011-12-09,1758197.88473989
2011-12-10,692463.1078932
2011-12-11,594027.51397105
2011-12-12,582544.15830219
2011-12-13,256660.70793288
2011-12-14,239647.29294337
2011-12-15,269842.72432959
2011-12-16,326978.81927659
2011-12-17,222320.85925966
2011-12-18,190957.69762517
2011-12-19,327782.7356116
2011-12-20,373196.62578369
2011-12-21,344030.74981672
2011-12-22,264222.53391538
2011-12-23,183235.68026861
2011-12-24,164510.46018195
2011-12-25,193493.42342163
2011-12-26,228472.82202663
2011-12-27,274012.7748679
2011-12-28,173334.84283257
2011-12-29,264550.68212319
2011-12-30,187136.37302429
2011-12-31,173706.23634498
2012-01-01,200010.1503008
2012-01-02,169688.82732346
2012-01-03,167221.88326432
2012-01-04,228926.02220282
2012-01-05,400488.52406539
2012-01-06,306866.73881326
2012-01-07,171212.25435221
2012-01-08,209186.3641903
2012-01-09,266870.78589278
2012-01-10,221334.46627891
2012-01-11,192698.50702119
2012-01-12,169510.46913927
2012-01-13,249221.21268279
2012-01-14,180891.74175555
2012-01-15,160238.98643591
2012-01-16,203869.11106405
2012-01-17,247495.2366732
2012-01-18,228649.49418334
2012-01-19,236859.69301565
2012-01-20,183491.62277014
2012-01-21,161513.77111977
2012-01-22,134050.02523635
2012-01-23,144356.36032716
2012-01-24,180328.75381526
2012-01-25,254100.49324932
2012-01-26,217882.45327155
