t,entities_net_growth_count
2013-12-03,5964
2013-12-04,6314
2013-12-05,5622
2013-12-06,4879
2013-12-07,5821
2013-12-08,3345
2013-12-09,7166
2013-12-10,4765
2013-12-11,4414
2013-12-12,3420
2013-12-13,4616
2013-12-14,4235
2013-12-15,2613
2013-12-16,7854
2013-12-17,4531
2013-12-18,5214
2013-12-19,4396
2013-12-20,3535
2013-12-21,2946
2013-12-22,3700
2013-12-23,11917
2013-12-24,6086
2013-12-25,5749
2013-12-26,3659
2013-12-27,3035
2013-12-28,2307
2013-12-29,2641
2013-12-30,6653
2013-12-31,3150
2014-01-01,1917
2014-01-02,2880
2014-01-03,3448
2014-01-04,2911
2014-01-05,2665
2014-01-06,7661
2014-01-07,3408
2014-01-08,3888
2014-01-09,3227
2014-01-10,3058
2014-01-11,2655
2014-01-12,2507
2014-01-13,6353
2014-01-14,2792
2014-01-15,2745
2014-01-16,2807
2014-01-17,3127
2014-01-18,2377
2014-01-19,2187
2014-01-20,6680
2014-01-21,3317
2014-01-22,3022
2014-01-23,3728
2014-01-24,2489
2014-01-25,3157
2014-01-26,2762
2014-01-27,6186
2014-01-28,3288
2014-01-29,2674
2014-01-30,3794
2014-01-31,2971
2014-02-01,2652
2014-02-02,3299
2014-02-03,6639
2014-02-04,3877
2014-02-05,3245
2014-02-06,3883
2014-02-07,2806
2014-02-08,3176
2014-02-09,2904
2014-02-10,6732
2014-02-11,2277
