t,entities_new_count
2013-02-03,9789
2013-02-04,10409
2013-02-05,10179
2013-02-06,10522
2013-02-07,11477
2013-02-08,11370
2013-02-09,10608
2013-02-10,9818
2013-02-11,6646
2013-02-12,7297
2013-02-13,6584
2013-02-14,7589
2013-02-15,8178
2013-02-16,6398
2013-02-17,6663
2013-02-18,7261
2013-02-19,7802
2013-02-20,7814
2013-02-21,8183
2013-02-22,10062
2013-02-23,10039
2013-02-24,10610
2013-02-25,10282
2013-02-26,10910
2013-02-27,9046
2013-02-28,10339
2013-03-01,12188
2013-03-02,7477
2013-03-03,6602
2013-03-04,7818
2013-03-05,9565
2013-03-06,11781
2013-03-07,10467
2013-03-08,9399
2013-03-09,8240
2013-03-10,7344
2013-03-11,6277
2013-03-12,8585
2013-03-13,8280
2013-03-14,8344
2013-03-15,9830
2013-03-16,7715
2013-03-17,7372
2013-03-18,8527
2013-03-19,11155
2013-03-20,9544
2013-03-21,9321
2013-03-22,10955
2013-03-23,8548
2013-03-24,8935
2013-03-25,9407
2013-03-26,10937
2013-03-27,11492
2013-03-28,13031
2013-03-29,13257
2013-03-30,11776
2013-03-31,8737
2013-04-01,10498
2013-04-02,13745
2013-04-03,16826
2013-04-04,18364
2013-04-05,17048
2013-04-06,12670
2013-04-07,11595
2013-04-08,23827
2013-04-09,19424
2013-04-10,26726
2013-04-11,19621
2013-04-12,18166
2013-04-13,13166
2013-04-14,10450
2013-04-15,15029
2013-04-16,14692
2013-04-17,18839
2013-04-18,11783
2013-04-19,14356
2013-04-20,9776
2013-04-21,8527
2013-04-22,12687
2013-04-23,12565
2013-04-24,13474
2013-04-25,11354
2013-04-26,11600
2013-04-27,15173
2013-04-28,53280
2013-04-29,8955
2013-04-30,9161
2013-05-01,10838
2013-05-02,10822
2013-05-03,11221
2013-05-04,8720
2013-05-05,8735
2013-05-06,9523
2013-05-07,11671
2013-05-08,13104
2013-05-09,10200
2013-05-10,10359
2013-05-11,7937
2013-05-12,7095
2013-05-13,9103
2013-05-14,9447
2013-05-15,9819
2013-05-16,10900
2013-05-17,10564
2013-05-18,8368
2013-05-19,7225
2013-05-20,8591
2013-05-21,10673
2013-05-22,9307
2013-05-23,10245
2013-05-24,10165
2013-05-25,7249
2013-05-26,6538
2013-05-27,7348
2013-05-28,8893
2013-05-29,10213
2013-05-30,9937
2013-05-31,9315
2013-06-01,8025
2013-06-02,7395
2013-06-03,8264
2013-06-04,9122
2013-06-05,9090
2013-06-06,9194
2013-06-07,9963
2013-06-08,6660
2013-06-09,7110
2013-06-10,7889
2013-06-11,8328
2013-06-12,8120
2013-06-13,9107
2013-06-14,11128
2013-06-15,7209
2013-06-16,5254
2013-06-17,7617
2013-06-18,8852
2013-06-19,9351
2013-06-20,9075
2013-06-21,10572
2013-06-22,7493
2013-06-23,6024
2013-06-24,9059
2013-06-25,8643
2013-06-26,9184
2013-06-27,8737
2013-06-28,10125
2013-06-29,7915
2013-06-30,6405
2013-07-01,9324
2013-07-02,9239
2013-07-03,9388
2013-07-04,8457
2013-07-05,8172
2013-07-06,6746
2013-07-07,5854
2013-07-08,8376
2013-07-09,9229
2013-07-10,9217
2013-07-11,11077
2013-07-12,13865
2013-07-13,9159
2013-07-14,6267
2013-07-15,7849
2013-07-16,10732
