t,indicators_mvrv_account_based
2012-01-07,1.32597098889446
2012-01-08,1.3898115926068
2012-01-09,1.31770143159636
2012-01-10,1.25862923629244
2012-01-11,1.33449328558621
2012-01-12,1.32985022381027
2012-01-13,1.29451066565567
2012-01-14,1.26724488297647
2012-01-15,1.3318241348095
2012-01-16,1.34062093598247
2012-01-17,1.27869349907622
2012-01-18,1.14275808485903
2012-01-19,1.19197237050993
2012-01-20,1.24207478412346
2012-01-21,1.22457993092439
2012-01-22,1.20227307371334
2012-01-23,1.21238693718056
2012-01-24,1.2156120925411
2012-01-25,1.17957694174647
2012-01-26,1.09172770532938
2012-01-27,1.02360374407859
2012-01-28,1.06301920371468
2012-01-29,1.06799137635548
2012-01-30,1.06421040068916
2012-01-31,1.06875804555177
2012-02-01,1.08917342126548
2012-02-02,1.16425451819737
2012-02-03,1.15251513089084
2012-02-04,1.1448954994488
2012-02-05,1.10714302423772
2012-02-06,1.08590502683444
2012-02-07,1.0786649953544
2012-02-08,1.09255649949911
2012-02-09,1.10500082312208
2012-02-10,1.13683095345283
2012-02-11,1.12881184621245
2012-02-12,1.09503135679965
2012-02-13,1.04603444246434
2012-02-14,0.935966256218832
2012-02-15,0.916873499558429
2012-02-16,0.836119481722509
2012-02-17,0.875326827098376
2012-02-18,0.85222914355054
2012-02-19,0.852448416123227
2012-02-20,0.869105525444834
2012-02-21,0.86320744377078
2012-02-22,0.886621398922114
2012-02-23,0.947458029069407
2012-02-24,0.991417495006207
2012-02-25,0.980304579291189
2012-02-26,0.974541108109036
2012-02-27,0.984518265793174
2012-02-28,0.976397770097427
2012-02-29,0.963506766723763
2012-03-01,0.982252276928049
2012-03-02,0.94520575442365
2012-03-03,0.935056141943882
2012-03-04,0.942703515691662
2012-03-05,0.98181207786585
2012-03-06,0.988680108147794
2012-03-07,0.991314632476313
2012-03-08,0.977202998827466
2012-03-09,0.979443098867047
2012-03-10,0.967475769136816
2012-03-11,0.98009725442055
2012-03-12,0.974459521903144
2012-03-13,1.00828892509784
2012-03-14,1.07111111477714
2012-03-15,1.06622078270146
2012-03-16,1.06290267302439
2012-03-17,1.06661215366295
2012-03-18,1.04793743821411
2012-03-19,1.02280503740444
2012-03-20,0.960025770463438
2012-03-21,0.965394834402486
2012-03-22,0.965052296874425
2012-03-23,0.944449239913139
2012-03-24,0.938399121885745
2012-03-25,0.921569818401023
2012-03-26,0.932483933662809
2012-03-27,0.942352697921704
2012-03-28,0.966601018931835
2012-03-29,0.958960919131726
2012-03-30,0.977479580074257
2012-03-31,0.994720952518744
2012-04-01,0.984155160910214
2012-04-02,0.997435435889408
2012-04-03,1.01144138693984
2012-04-04,1.0145809498603
2012-04-05,1.00854157761757
2012-04-06,1.01408755056179
2012-04-07,0.988388856735278
2012-04-08,0.972467283766079
2012-04-09,0.979465668207637
2012-04-10,0.990927956008121
2012-04-11,0.999460182624414
2012-04-12,1.00328622576583
2012-04-13,0.999764427620961
2012-04-14,1.01896825610101
2012-04-15,1.00922313854902
2012-04-16,1.01134808763968
2012-04-17,1.01656064159253
2012-04-18,1.04580669011664
2012-04-19,1.05270605187286
2012-04-20,1.05770320327864
2012-04-21,1.08120654447912
2012-04-22,1.06306450334808
2012-04-23,1.0561723829355
2012-04-24,1.03531966346876
2012-04-25,1.04369674846167
2012-04-26,1.03711944316971
2012-04-27,1.03758752330395
2012-04-28,1.01691483494729
2012-04-29,1.00662518467478
2012-04-30,1.00845311984468
2012-05-01,1.01421616550015
2012-05-02,1.03985496762964
2012-05-03,1.03885632976502
2012-05-04,1.04340950880155
2012-05-05,1.03415564987543
2012-05-06,1.03068121210245
2012-05-07,1.03374370985287
2012-05-08,1.03049080115708
2012-05-09,1.03400861303431
2012-05-10,1.02977951523345
2012-05-11,1.00995901185777
2012-05-12,1.0140974857966
2012-05-13,1.01406392390839
2012-05-14,1.01513591957226
2012-05-15,1.0231532467352
2012-05-16,1.03569242509876
2012-05-17,1.04136977328954
2012-05-18,1.04547328785569
2012-05-19,1.04880507647395
2012-05-20,1.05001479859954
