t,o
2010-03-12,"{'0001_001': 0, '001_01': 8.88276964757611e-09, '01_1': 6.66207723568209e-07, '100_1k': 0.0532699473695898, '10_100': 0.55048556327863, '10k_100k': 0.239273016366503, '1_10': 1.21871599564744e-05, '1k_10k': 0.156958610734827, 'above_100k': 0, 'less_0001': 0}"
2010-03-13,"{'0001_001': 0, '001_01': 8.85269121813031e-09, '01_1': 6.63951841359773e-07, '100_1k': 0.053333016111898, '10_100': 0.549440408109065, '10k_100k': 0.238750513456091, '1_10': 1.21458923512748e-05, '1k_10k': 0.158463243626062, 'above_100k': 0, 'less_0001': 0}"
2010-03-14,"{'0001_001': 0, '001_01': 8.82826811450264e-09, '01_1': 6.62120108587698e-07, '100_1k': 0.0531858791851509, '10_100': 0.54863085479706, '10k_100k': 0.238952596614359, '1_10': 1.21123838530976e-05, '1k_10k': 0.1592178860712, 'above_100k': 0, 'less_0001': 0}"
2010-03-15,"{'0001_001': 0, '001_01': 8.80204207376111e-09, '01_1': 6.60153155532083e-07, '100_1k': 0.0540858859255347, '10_100': 0.547923497051316, '10k_100k': 0.23844078866297, '1_10': 1.20764017252002e-05, '1k_10k': 0.159537083003257, 'above_100k': 0, 'less_0001': 0}"
2010-03-16,"{'0001_001': 0, '001_01': 8.77770463023919e-09, '01_1': 6.58327847267939e-07, '100_1k': 0.0537155804257187, '10_100': 0.547132661838929, '10k_100k': 0.237979003730524, '1_10': 1.20430107526882e-05, '1k_10k': 0.161160043888523, 'above_100k': 0, 'less_0001': 0}"
2010-03-17,"{'0001_001': 0, '001_01': 8.75158622500328e-09, '01_1': 6.56368966875246e-07, '100_1k': 0.0544309062267536, '10_100': 0.546467321577036, '10k_100k': 0.237620951297423, '1_10': 1.20071763007045e-05, '1k_10k': 0.161468148601934, 'above_100k': 0, 'less_0001': 0}"
2010-03-18,"{'0001_001': 0, '001_01': 8.7248614928238e-09, '01_1': 6.54364611961785e-07, '100_1k': 0.054565698207041, '10_100': 0.545762670680103, '10k_100k': 0.237135261527723, '1_10': 1.19705099681543e-05, '1k_10k': 0.162523735985691, 'above_100k': 0, 'less_0001': 0}"
2010-03-19,"{'0001_001': 0, '001_01': 8.69584121393943e-09, '01_1': 6.52188091045457e-07, '100_1k': 0.0544494228135394, '10_100': 0.545099576077741, '10k_100k': 0.237824804887063, '1_10': 1.19306941455249e-05, '1k_10k': 0.162613604643579, 'above_100k': 0, 'less_0001': 0}"
2010-03-20,"{'0001_001': 0, '001_01': 8.65969561169925e-09, '01_1': 6.49477170877444e-07, '100_1k': 0.0549331904483557, '10_100': 0.543675508215886, '10k_100k': 0.237507375895737, '1_10': 1.23140871598363e-05, '1k_10k': 0.163870953215994, 'above_100k': 0, 'less_0001': 0}"
2010-03-21,"{'0001_001': 0, '001_01': 8.62552292232717e-09, '01_1': 6.46914219174537e-07, '100_1k': 0.0556005304696597, '10_100': 0.542522003708975, '10k_100k': 0.236850459309096, '1_10': 1.22654935955492e-05, '1k_10k': 0.165014085478932, 'above_100k': 0, 'less_0001': 0}"
2010-03-22,"{'0001_001': 0, '001_01': 8.59235709836101e-09, '01_1': 6.44426782377076e-07, '100_1k': 0.0566111528795137, '10_100': 0.541552969733422, '10k_100k': 0.236562696281657, '1_10': 1.22183317938694e-05, '1k_10k': 0.165260309754473, 'above_100k': 0, 'less_0001': 0}"
