t,o
2010-02-18,"{'1d_1w': 0.0428299083594642, '1m_3m': 0.181579523080289, '1w_1m': 0.110746989474708, '1y_2y': 0.116191448503853, '24h': 0.00634434478232334, '2y_3y': 0, '3m_6m': 0.141981832324558, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.400325953474805, '7y_10y': 0, 'more_10y': 0}"
2010-02-19,"{'1d_1w': 0.0444213689482471, '1m_3m': 0.182115119401902, '1w_1m': 0.111974556628197, '1y_2y': 0.118845418692991, '24h': 0.00466961844620261, '2y_3y': 0, '3m_6m': 0.142338452977184, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.395635464905277, '7y_10y': 0, 'more_10y': 0}"
2010-02-20,"{'1d_1w': 0.0440950191386408, '1m_3m': 0.182455042249452, '1w_1m': 0.112889982907629, '1y_2y': 0.121018801608127, '24h': 0.00527215387948675, '2y_3y': 0, '3m_6m': 0.143021993788969, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.391247006427694, '7y_10y': 0, 'more_10y': 0}"
2010-02-21,"{'1d_1w': 0.0413932043484507, '1m_3m': 0.182271442938557, '1w_1m': 0.114792883482592, '1y_2y': 0.122982615775107, '24h': 0.00812548728509171, '2y_3y': 0, '3m_6m': 0.142689301278674, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.387745064891528, '7y_10y': 0, 'more_10y': 0}"
2010-02-22,"{'1d_1w': 0.0415560277949645, '1m_3m': 0.182452524867926, '1w_1m': 0.112077307124839, '1y_2y': 0.125077340440722, '24h': 0.0129455999238494, '2y_3y': 0, '3m_6m': 0.141188425110656, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.384702774737043, '7y_10y': 0, 'more_10y': 0}"
2010-02-23,"{'1d_1w': 0.0504357494322483, '1m_3m': 0.182721896290689, '1w_1m': 0.112153671461014, '1y_2y': 0.126655942467827, '24h': 0.00593773656320969, '2y_3y': 0, '3m_6m': 0.141394303557911, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.380700700227101, '7y_10y': 0, 'more_10y': 0}"
2010-02-24,"{'1d_1w': 0.0387893551351224, '1m_3m': 0.185095775510685, '1w_1m': 0.121966953325637, '1y_2y': 0.128572438329053, '24h': 0.00652640011309285, '2y_3y': 0, '3m_6m': 0.140801074382112, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.378248003204298, '7y_10y': 0, 'more_10y': 0}"
2010-02-25,"{'1d_1w': 0.0369588609526492, '1m_3m': 0.186093386858229, '1w_1m': 0.12338059957274, '1y_2y': 0.130455196375332, '24h': 0.00694884616287532, '2y_3y': 0, '3m_6m': 0.140010329365918, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.376152780712257, '7y_10y': 0, 'more_10y': 0}"
2010-02-26,"{'1d_1w': 0.0352436718183731, '1m_3m': 0.187168743716243, '1w_1m': 0.123258514344502, '1y_2y': 0.132338843554911, '24h': 0.00911875423788258, '2y_3y': 0, '3m_6m': 0.138886109097711, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.373985363230377, '7y_10y': 0, 'more_10y': 0}"
2010-02-27,"{'1d_1w': 0.0402490999278079, '1m_3m': 0.188328636967001, '1w_1m': 0.123439682354859, '1y_2y': 0.135162199296709, '24h': 0.00421555157075988, '2y_3y': 0, '3m_6m': 0.137631168347267, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.370973661535595, '7y_10y': 0, 'more_10y': 0}"
2010-02-28,"{'1d_1w': 0.0375204770633687, '1m_3m': 0.189920876163074, '1w_1m': 0.123812794394041, '1y_2y': 0.137086108081769, '24h': 0.00605610599345662, '2y_3y': 0, '3m_6m': 0.136831333967562, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.368772304336729, '7y_10y': 0, 'more_10y': 0}"
2010-03-01,"{'1d_1w': 0.0359655363577566, '1m_3m': 0.186616926914903, '1w_1m': 0.126419661831285, '1y_2y': 0.138663032430934, '24h': 0.00515106717176383, '2y_3y': 0, '3m_6m': 0.140880994179063, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.366302781114294, '7y_10y': 0, 'more_10y': 0}"
2010-03-02,"{'1d_1w': 0.0352810487580497, '1m_3m': 0.186545998160074, '1w_1m': 0.12814995400184, '1y_2y': 0.140340386384545, '24h': 0.00524379024839006, '2y_3y': 0, '3m_6m': 0.140409843606256, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.364028978840846, '7y_10y': 0, 'more_10y': 0}"
2010-03-03,"{'1d_1w': 0.0318348918225156, '1m_3m': 0.187477539420609, '1w_1m': 0.12983498349835, '1y_2y': 0.142189218921892, '24h': 0.00715071507150715, '2y_3y': 0, '3m_6m': 0.139920700403374, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.361591950861753, '7y_10y': 0, 'more_10y': 0}"
2010-03-04,"{'1d_1w': 0.0323395029326517, '1m_3m': 0.182167195380788, '1w_1m': 0.131432092566812, '1y_2y': 0.144282050345756, '24h': 0.0130542939954812, '2y_3y': 0, '3m_6m': 0.138188830819088, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.358536033959422, '7y_10y': 0, 'more_10y': 0}"
2010-03-05,"{'1d_1w': 0.0374197508411385, '1m_3m': 0.184848299536237, '1w_1m': 0.134035646085296, '1y_2y': 0.146153646449032, '24h': 0.00395562426116213, '2y_3y': 0, '3m_6m': 0.137422319723561, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.356164713103574, '7y_10y': 0, 'more_10y': 0}"
2010-03-06,"{'1d_1w': 0.0283708819200725, '1m_3m': 0.187866124759425, '1w_1m': 0.13078301369863, '1y_2y': 0.14783214309974, '24h': 0.0147616393071437, '2y_3y': 0, '3m_6m': 0.136396082871052, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.353990114343938, '7y_10y': 0, 'more_10y': 0}"
2010-03-07,"{'1d_1w': 0.0358548574779001, '1m_3m': 0.194444420891214, '1w_1m': 0.12616579018582, '1y_2y': 0.149400293162547, '24h': 0.00660743279812376, '2y_3y': 0, '3m_6m': 0.13580040140718, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.351726804077215, '7y_10y': 0, 'more_10y': 0}"
2010-03-08,"{'1d_1w': 0.0378700712856147, '1m_3m': 0.192526105826531, '1w_1m': 0.126215921203535, '1y_2y': 0.15188123411815, '24h': 0.0068790303357395, '2y_3y': 0, '3m_6m': 0.135576086712092, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.349051550518339, '7y_10y': 0, 'more_10y': 0}"
2010-03-09,"{'1d_1w': 0.0396939997758601, '1m_3m': 0.193418881542082, '1w_1m': 0.126139096716351, '1y_2y': 0.153535954275468, '24h': 0.00508797489633531, '2y_3y': 0, '3m_6m': 0.134999282752438, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.347124810041466, '7y_10y': 0, 'more_10y': 0}"
2010-03-10,"{'1d_1w': 0.037719092391183, '1m_3m': 0.19714101882663, '1w_1m': 0.125794398910155, '1y_2y': 0.155169095741117, '24h': 0.00475690644750653, '2y_3y': 0, '3m_6m': 0.13442153337651, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.344997954306899, '7y_10y': 0, 'more_10y': 0}"
2010-03-11,"{'1d_1w': 0.0387207258962369, '1m_3m': 0.198138129592518, '1w_1m': 0.124063589401024, '1y_2y': 0.157092108661768, '24h': 0.00438655087953685, '2y_3y': 0, '3m_6m': 0.134735983077266, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.34286291249165, '7y_10y': 0, 'more_10y': 0}"
2010-03-12,"{'1d_1w': 0.0397270280473452, '1m_3m': 0.211729328684684, '1w_1m': 0.110761382158957, '1y_2y': 0.159134964802025, '24h': 0.00284248628722436, '2y_3y': 0, '3m_6m': 0.13497352934645, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.340831280673314, '7y_10y': 0, 'more_10y': 0}"
2010-03-13,"{'1d_1w': 0.0288376416430595, '1m_3m': 0.212871445644476, '1w_1m': 0.119193599504249, '1y_2y': 0.161318311791785, '24h': 0.00418289660056657, '2y_3y': 0, '3m_6m': 0.135136176522663, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.338459928293201, '7y_10y': 0, 'more_10y': 0}"
