t,transactions_transfers_from_exchanges_count
2014-08-27,3898
2014-08-28,3548
2014-08-29,3583
2014-08-30,3170
2014-08-31,3648
2014-09-01,3722
2014-09-02,3879
2014-09-03,3614
2014-09-04,3992
2014-09-05,3467
2014-09-06,3487
2014-09-07,3322
2014-09-08,3700
2014-09-09,4161
2014-09-10,4265
2014-09-11,3642
2014-09-12,3683
2014-09-13,3665
2014-09-14,3570
2014-09-15,4044
2014-09-16,6382
2014-09-17,4385
2014-09-18,4351
2014-09-19,4179
2014-09-20,3975
2014-09-21,3475
2014-09-22,4198
2014-09-23,4859
2014-09-24,5367
2014-09-25,5977
2014-09-26,4774
2014-09-27,3476
2014-09-28,4165
2014-09-29,4433
2014-09-30,4830
2014-10-01,4921
2014-10-02,4242
2014-10-03,6743
2014-10-04,8241
2014-10-05,4985
2014-10-06,5640
2014-10-07,5073
2014-10-08,4988
2014-10-09,5247
2014-10-10,4271
2014-10-11,4046
2014-10-12,3609
2014-10-13,4543
2014-10-14,4821
2014-10-15,4350
2014-10-16,3993
2014-10-17,4216
2014-10-18,3929
2014-10-19,3494
2014-10-20,4106
2014-10-21,4545
2014-10-22,4080
2014-10-23,4135
2014-10-24,3961
2014-10-25,3653
2014-10-26,3538
2014-10-27,4951
2014-10-28,4186
2014-10-29,4258
2014-10-30,4290
2014-10-31,4266
2014-11-01,3653
2014-11-02,4073
2014-11-03,4073
2014-11-04,4114
2014-11-05,4072
2014-11-06,4449
2014-11-07,4177
2014-11-08,3150
2014-11-09,3751
2014-11-10,4486
2014-11-11,3838
2014-11-12,5121
2014-11-13,4951
2014-11-14,4638
2014-11-15,3690
2014-11-16,3919
2014-11-17,4335
2014-11-18,3969
2014-11-19,3741
2014-11-20,3939
2014-11-21,4064
2014-11-22,3376
2014-11-23,3742
2014-11-24,3977
2014-11-25,3974
2014-11-26,3999
2014-11-27,3728
2014-11-28,4047
2014-11-29,3589
2014-11-30,3491
2014-12-01,4163
2014-12-02,4330
2014-12-03,3711
2014-12-04,3948
2014-12-05,3645
2014-12-06,3463
2014-12-07,3383
2014-12-08,3874
2014-12-09,4629
2014-12-10,3690
2014-12-11,4022
2014-12-12,3608
2014-12-13,3343
2014-12-14,3644
2014-12-15,4261
2014-12-16,5112
2014-12-17,4949
2014-12-18,4758
2014-12-19,4808
2014-12-20,4126
2014-12-21,3884
2014-12-22,4590
2014-12-23,4110
2014-12-24,3686
2014-12-25,3101
2014-12-26,3565
2014-12-27,3157
2014-12-28,3309
2014-12-29,3919
2014-12-30,3714
2014-12-31,3526
2015-01-01,2838
2015-01-02,3585
2015-01-03,4026
2015-01-04,4161
2015-01-05,3832
2015-01-06,3624
2015-01-07,3453
2015-01-08,3680
2015-01-09,4042
2015-01-10,5046
2015-01-11,3873
2015-01-12,3928
2015-01-13,5299
2015-01-14,5680
2015-01-15,5694
2015-01-16,4533
2015-01-17,3798
2015-01-18,3975
2015-01-19,4131
2015-01-20,4242
2015-01-21,4634
2015-01-22,4223
2015-01-23,4225
2015-01-24,3682
2015-01-25,3945
2015-01-26,5652
2015-01-27,4728
2015-01-28,4417
2015-01-29,4501
2015-01-30,4009
2015-01-31,3864
2015-02-01,3747
2015-02-02,4069
2015-02-03,4349
2015-02-04,5039
2015-02-05,5228
2015-02-06,3926
2015-02-07,3476
2015-02-08,3541
2015-02-09,4135
2015-02-10,3886
2015-02-11,3674
2015-02-12,3497
2015-02-13,4433
2015-02-14,4096
2015-02-15,4455
2015-02-16,4608
2015-02-17,4487
2015-02-18,4524
2015-02-19,3910
2015-02-20,4162
2015-02-21,3730
2015-02-22,3638
2015-02-23,4059
2015-02-24,4108
2015-02-25,3951
2015-02-26,3878
2015-02-27,4285
2015-02-28,3939
2015-03-01,3639
2015-03-02,4747
2015-03-03,4768
2015-03-04,6388
2015-03-05,7496
2015-03-06,7200
2015-03-07,10972
2015-03-08,11164
2015-03-09,7992
2015-03-10,7561
2015-03-11,7982
2015-03-12,6184
2015-03-13,5610
2015-03-14,5267
2015-03-15,5384
2015-03-16,6415
2015-03-17,5694
2015-03-18,6485
2015-03-19,5762
2015-03-20,6318
2015-03-21,6057
2015-03-22,6136
2015-03-23,6902
2015-03-24,6341
2015-03-25,6504
2015-03-26,6268
2015-03-27,6052
2015-03-28,5772
2015-03-29,6143
2015-03-30,6719
2015-03-31,7011
2015-04-01,6620
2015-04-02,6807
2015-04-03,5970
2015-04-04,5271
2015-04-05,5935
2015-04-06,6464
2015-04-07,7118
2015-04-08,6833
2015-04-09,6478
2015-04-10,7175
2015-04-11,6682
2015-04-12,6141
2015-04-13,7453
2015-04-14,6924
2015-04-15,6341
2015-04-16,5862
2015-04-17,5807
2015-04-18,5196
2015-04-19,5476
2015-04-20,7003
2015-04-21,6320
2015-04-22,6939
2015-04-23,7769
2015-04-24,7847
2015-04-25,7569
2015-04-26,8492
2015-04-27,9026
2015-04-28,8014
2015-04-29,7514
2015-04-30,7671
2015-05-01,7592
2015-05-02,8057
2015-05-03,7722
2015-05-04,7596
2015-05-05,8008
2015-05-06,8436
2015-05-07,7740
2015-05-08,8032
2015-05-09,6550
2015-05-10,6493
2015-05-11,7733
2015-05-12,7305
2015-05-13,7145
2015-05-14,7074
2015-05-15,7107
