t,entities_active_count
2012-08-11,13906
2012-08-12,14648
2012-08-13,18985
2012-08-14,15748
2012-08-15,14848
2012-08-16,19343
2012-08-17,18226
2012-08-18,18205
2012-08-19,15817
2012-08-20,14148
2012-08-21,17635
2012-08-22,15957
2012-08-23,15595
2012-08-24,15381
2012-08-25,12588
2012-08-26,10726
2012-08-27,13504
2012-08-28,15749
2012-08-29,14197
2012-08-30,10157
2012-08-31,15635
2012-09-01,15672
2012-09-02,11502
2012-09-03,10002
2012-09-04,13611
2012-09-05,12866
2012-09-06,14644
2012-09-07,14497
2012-09-08,11125
2012-09-09,14640
2012-09-10,12345
2012-09-11,15886
2012-09-12,12565
2012-09-13,11696
2012-09-14,12986
2012-09-15,11377
2012-09-16,12336
2012-09-17,12305
2012-09-18,14787
2012-09-19,17876
2012-09-20,21792
2012-09-21,15654
2012-09-22,10893
2012-09-23,11049
2012-09-24,11741
2012-09-25,19742
2012-09-26,19880
2012-09-27,18050
2012-09-28,21942
2012-09-29,15709
2012-09-30,12735
2012-10-01,14107
2012-10-02,20234
2012-10-03,19615
2012-10-04,19325
2012-10-05,17775
2012-10-06,14330
2012-10-07,15967
2012-10-08,17251
2012-10-09,18929
2012-10-10,18139
2012-10-11,18006
2012-10-12,16657
2012-10-13,13871
2012-10-14,15437
2012-10-15,17418
2012-10-16,15220
2012-10-17,20119
2012-10-18,18093
2012-10-19,15008
2012-10-20,14442
2012-10-21,12015
2012-10-22,14269
2012-10-23,14192
2012-10-24,15784
2012-10-25,15390
2012-10-26,15410
2012-10-27,12360
2012-10-28,12112
2012-10-29,11542
2012-10-30,13704
2012-10-31,13584
2012-11-01,13516
2012-11-02,14232
2012-11-03,14664
2012-11-04,12971
2012-11-05,14124
2012-11-06,15510
2012-11-07,17995
2012-11-08,14853
2012-11-09,14834
2012-11-10,13471
2012-11-11,13659
2012-11-12,13095
2012-11-13,13951
2012-11-14,15158
2012-11-15,17721
2012-11-16,16569
2012-11-17,17975
2012-11-18,16034
2012-11-19,15659
2012-11-20,15940
2012-11-21,15087
2012-11-22,16250
2012-11-23,13382
2012-11-24,14186
2012-11-25,13066
2012-11-26,15837
2012-11-27,13138
2012-11-28,14393
2012-11-29,14563
2012-11-30,13778
2012-12-01,13619
2012-12-02,9785
2012-12-03,11230
2012-12-04,14978
2012-12-05,17287
2012-12-06,16128
2012-12-07,15359
2012-12-08,14705
2012-12-09,13202
2012-12-10,12619
2012-12-11,12932
2012-12-12,14368
2012-12-13,16590
2012-12-14,15901
2012-12-15,13458
2012-12-16,13140
2012-12-17,14911
2012-12-18,16709
2012-12-19,15995
2012-12-20,14370
2012-12-21,16539
2012-12-22,22057
2012-12-23,14423
2012-12-24,14395
2012-12-25,11679
2012-12-26,11165
2012-12-27,11955
2012-12-28,15778
2012-12-29,14215
2012-12-30,20621
2012-12-31,13550
2013-01-01,14117
2013-01-02,16626
2013-01-03,21119
2013-01-04,18687
2013-01-05,21811
2013-01-06,17784
2013-01-07,20823
2013-01-08,21092
2013-01-09,20721
2013-01-10,21313
2013-01-11,22568
2013-01-12,19087
2013-01-13,18879
2013-01-14,13734
2013-01-15,21950
2013-01-16,20589
2013-01-17,21388
2013-01-18,21356
2013-01-19,19264
2013-01-20,17871
2013-01-21,16154
2013-01-22,18467
2013-01-23,16734
2013-01-24,18601
2013-01-25,18160
2013-01-26,19116
2013-01-27,18900
2013-01-28,18259
2013-01-29,17932
2013-01-30,15529
2013-01-31,17008
2013-02-01,22866
2013-02-02,20974
2013-02-03,20707
2013-02-04,21662
2013-02-05,21758
2013-02-06,21980
2013-02-07,23208
2013-02-08,23093
2013-02-09,21972
2013-02-10,20881
2013-02-11,16738
2013-02-12,17596
2013-02-13,16693
2013-02-14,17943
2013-02-15,18380
2013-02-16,16541
2013-02-17,16703
2013-02-18,17687
2013-02-19,18706
2013-02-20,19073
2013-02-21,19234
2013-02-22,21461
2013-02-23,21022
2013-02-24,21042
2013-02-25,22193
2013-02-26,23098
2013-02-27,21224
2013-02-28,23049
2013-03-01,25023
2013-03-02,18701
2013-03-03,16983
2013-03-04,19729
2013-03-05,22413
2013-03-06,27005
2013-03-07,25210
2013-03-08,22148
2013-03-09,20944
2013-03-10,20187
2013-03-11,18559
2013-03-12,22147
2013-03-13,22141
2013-03-14,21609
2013-03-15,23247
2013-03-16,20871
2013-03-17,20241
2013-03-18,22777
2013-03-19,27339
2013-03-20,25397
2013-03-21,25521
2013-03-22,28491
2013-03-23,24327
2013-03-24,24081
2013-03-25,25876
2013-03-26,29467
2013-03-27,29641
2013-03-28,33869
2013-03-29,32642
2013-03-30,29995
2013-03-31,25093
2013-04-01,29122
2013-04-02,35724
2013-04-03,44811
2013-04-04,44403
2013-04-05,41767
2013-04-06,33250
2013-04-07,32038
2013-04-08,55223
2013-04-09,48032
2013-04-10,60283
2013-04-11,52591
2013-04-12,45814
2013-04-13,36960
2013-04-14,31978
2013-04-15,48388
2013-04-16,40687
2013-04-17,47863
2013-04-18,33276
2013-04-19,43562
2013-04-20,30980
2013-04-21,29067
2013-04-22,43211
2013-04-23,36858
2013-04-24,39909
2013-04-25,35096
2013-04-26,36229
2013-04-27,35803
2013-04-28,74959
2013-04-29,36047
2013-04-30,31042
2013-05-01,34935
2013-05-02,33339
2013-05-03,34905
2013-05-04,30197
2013-05-05,30472
2013-05-06,35841
2013-05-07,53003
2013-05-08,49794
2013-05-09,31539
2013-05-10,32584
2013-05-11,27898
2013-05-12,26696
2013-05-13,34664
2013-05-14,31380
2013-05-15,31623
2013-05-16,33238
2013-05-17,31786
2013-05-18,28232
2013-05-19,25469
2013-05-20,28441
2013-05-21,33232
2013-05-22,30779
2013-05-23,32441
2013-05-24,32755
2013-05-25,25670
2013-05-26,26491
2013-05-27,30484
2013-05-28,29989
2013-05-29,31238
2013-05-30,31739
2013-05-31,29845
2013-06-01,27053
2013-06-02,25592
2013-06-03,30866
2013-06-04,30599
2013-06-05,31132
2013-06-06,29296
2013-06-07,28226
2013-06-08,22839
2013-06-09,23512
2013-06-10,24014
2013-06-11,27617
2013-06-12,25540
2013-06-13,26832
2013-06-14,27406
2013-06-15,20729
2013-06-16,18628
2013-06-17,22038
2013-06-18,24198
2013-06-19,25877
2013-06-20,24509
2013-06-21,25527
2013-06-22,22039
2013-06-23,18801
2013-06-24,25047
2013-06-25,23257
2013-06-26,26587
2013-06-27,23586
2013-06-28,25440
2013-06-29,22848
2013-06-30,19703
2013-07-01,25369
2013-07-02,24680
2013-07-03,25034
2013-07-04,22967
2013-07-05,22120
2013-07-06,18922
2013-07-07,18560
2013-07-08,22817
2013-07-09,23298
2013-07-10,23972
2013-07-11,25852
2013-07-12,28502
2013-07-13,22385
2013-07-14,18552
2013-07-15,22718
2013-07-16,24296
2013-07-17,22534
2013-07-18,22323
2013-07-19,21878
2013-07-20,20537
2013-07-21,18101
2013-07-22,21464
2013-07-23,23418
2013-07-24,23263
2013-07-25,22322
2013-07-26,21717
2013-07-27,18418
2013-07-28,17879
2013-07-29,22820
2013-07-30,24499
2013-07-31,26543
2013-08-01,60138
2013-08-02,26460
2013-08-03,21661
2013-08-04,19368
2013-08-05,24588
2013-08-06,23266
2013-08-07,26262
2013-08-08,23543
2013-08-09,21327
2013-08-10,20513
2013-08-11,18499
2013-08-12,25344
2013-08-13,29328
2013-08-14,28685
2013-08-15,28560
2013-08-16,23659
2013-08-17,19125
2013-08-18,19145
2013-08-19,23837
2013-08-20,24426
2013-08-21,26673
2013-08-22,25097
2013-08-23,23283
2013-08-24,20440
2013-08-25,18739
2013-08-26,22005
