t,indicators_hodled_lost_coins
2010-09-21,3652075.20492834
2010-09-22,3660574.610401093
2010-09-23,3669792.2847760306
2010-09-24,3680229.188012918
2010-09-25,3691086.681759356
2010-09-26,3700728.151780814
2010-09-27,3711613.714183874
2010-09-28,3700305.0422079274
2010-09-29,3646275.8624870856
2010-09-30,3652492.470509892
2010-10-01,3628750.2571877004
2010-10-02,3620446.933086214
2010-10-03,3583809.634850432
2010-10-04,3589121.220372371
2010-10-05,3572435.8338643
2010-10-06,3572374.7949069687
2010-10-07,3579124.311913066
2010-10-08,3582980.8267454393
2010-10-09,3582940.7544599986
2010-10-10,3588580.6309680315
2010-10-11,3593706.070228952
2010-10-12,3600931.5156127815
2010-10-13,3608262.4585582414
2010-10-14,3603153.8343466893
2010-10-15,3608734.2558075753
2010-10-16,3610360.324004307
2010-10-17,3615106.4763679793
2010-10-18,3628815.5067884615
2010-10-19,3642817.42911372
2010-10-20,3656254.1595253204
2010-10-21,3664382.1519502364
2010-10-22,3669151.2382446253
2010-10-23,3676453.0356066045
2010-10-24,3684015.9102289565
2010-10-25,3692724.672861753
2010-10-26,3702208.463937703
2010-10-27,3711408.3795056967
2010-10-28,3718644.1098679095
2010-10-29,3720808.919829472
2010-10-30,3731783.198016713
2010-10-31,3741033.342272728
2010-11-01,3748855.571044777
2010-11-02,3755746.573235841
2010-11-03,3764745.693739596
2010-11-04,3772319.279650693
2010-11-05,3776706.148404562
2010-11-06,3775003.534426235
2010-11-07,3767927.842562305
2010-11-08,3762481.3712257016
2010-11-09,3765201.2466321867
2010-11-10,3775063.802603403
2010-11-11,3786952.3317636936
2010-11-12,3796861.124769
2010-11-13,3807682.9052771907
2010-11-14,3818866.6319092507
2010-11-15,3826204.662738278
2010-11-16,3801508.437209542
2010-11-17,3813850.571097149
2010-11-18,3828099.9046446937
2010-11-19,3836253.986229802
2010-11-20,3838196.4508545212
2010-11-21,3844766.656377733
2010-11-22,3853223.740662117
2010-11-23,3858929.901877889
2010-11-24,3867129.998125867
2010-11-25,3871570.7815050944
2010-11-26,3876996.3536874377
2010-11-27,3885352.3126319717
2010-11-28,3894232.3641365385
2010-11-29,3905419.768507408
2010-11-30,3915736.3780283807
2010-12-01,3922422.7649931572
2010-12-02,3929204.7171747545
2010-12-03,3933881.6330006905
2010-12-04,3945222.3122094474
2010-12-05,3956596.0547275334
2010-12-06,3958452.0984902987
2010-12-07,3964962.313026431
2010-12-08,3974095.4293819317
2010-12-09,3986278.956832876
2010-12-10,3993052.405394214
2010-12-11,3999676.093258727
2010-12-12,4008752.7030604333
2010-12-13,4012934.4732587775
2010-12-14,4019785.506119604
2010-12-15,4028308.693048742
2010-12-16,4037467.3903216394
2010-12-17,4046687.2366487924
2010-12-18,4054926.0997385173
2010-12-19,4061844.2939749253
2010-12-20,4068225.8816463184
2010-12-21,4067794.985207906
2010-12-22,4050055.4448591224
2010-12-23,4057768.0558329527
2010-12-24,4065808.238280516
2010-12-25,4073744.19540149
2010-12-26,4081980.6600114563
2010-12-27,4087583.281692538
2010-12-28,4095177.263458048
2010-12-29,4100698.4229771495
2010-12-30,4108182.372546652
2010-12-31,4116147.575288318
2011-01-01,4124812.58698557
2011-01-02,4134079.7055182597
2011-01-03,4139154.5183859635
2011-01-04,4145749.5201583104
2011-01-05,4154203.676863142
2011-01-06,4160990.3055582144
2011-01-07,4168302.448328273
2011-01-08,4175597.623758208
2011-01-09,4182908.032174843
2011-01-10,4189306.861790787
2011-01-11,4184994.8396563176
2011-01-12,4170657.3535689996
