t,addresses_accumulation_count
2013-06-13,63113
2013-06-14,63288
2013-06-15,63364
2013-06-16,63434
2013-06-17,63706
2013-06-18,63763
2013-06-19,63873
2013-06-20,63812
2013-06-21,63712
2013-06-22,63701
2013-06-23,63563
2013-06-24,63746
2013-06-25,63713
2013-06-26,63883
2013-06-27,64038
2013-06-28,64125
2013-06-29,64111
2013-06-30,64123
2013-07-01,64293
2013-07-02,64446
2013-07-03,64674
2013-07-04,64831
2013-07-05,65072
2013-07-06,64792
2013-07-07,64614
2013-07-08,64712
2013-07-09,64866
2013-07-10,64882
2013-07-11,64922
2013-07-12,64962
2013-07-13,64813
2013-07-14,64744
2013-07-15,64828
2013-07-16,64987
2013-07-17,65134
2013-07-18,65227
2013-07-19,65464
2013-07-20,65612
2013-07-21,65671
2013-07-22,65871
2013-07-23,66014
2013-07-24,66199
2013-07-25,66335
2013-07-26,66462
2013-07-27,66505
2013-07-28,66466
2013-07-29,66490
2013-07-30,66653
2013-07-31,66568
2013-08-01,66628
2013-08-02,66657
2013-08-03,66529
2013-08-04,66477
2013-08-05,66652
2013-08-06,66796
2013-08-07,66924
2013-08-08,67101
2013-08-09,67096
2013-08-10,67188
2013-08-11,67123
2013-08-12,67113
2013-08-13,67044
2013-08-14,67154
2013-08-15,67303
2013-08-16,67482
2013-08-17,67645
2013-08-18,67628
2013-08-19,67845
2013-08-20,68172
2013-08-21,68593
2013-08-22,68778
2013-08-23,67872
2013-08-24,67785
2013-08-25,66679
2013-08-26,66438
2013-08-27,65899
2013-08-28,65897
2013-08-29,66048
2013-08-30,66180
2013-08-31,66289
2013-09-01,66341
2013-09-02,66458
2013-09-03,66459
2013-09-04,66449
2013-09-05,66568
2013-09-06,66622
2013-09-07,66804
2013-09-08,66799
2013-09-09,66885
2013-09-10,67006
2013-09-11,67126
2013-09-12,67225
2013-09-13,67307
2013-09-14,67432
2013-09-15,67486
2013-09-16,67508
2013-09-17,67629
2013-09-18,67654
2013-09-19,67796
2013-09-20,67883
2013-09-21,67915
2013-09-22,67929
2013-09-23,68114
2013-09-24,68298
2013-09-25,68503
2013-09-26,68652
2013-09-27,68924
2013-09-28,69015
2013-09-29,69088
2013-09-30,68903
2013-10-01,69108
2013-10-02,68761
2013-10-03,68856
2013-10-04,69028
2013-10-05,69022
2013-10-06,69230
2013-10-07,69460
2013-10-08,69896
2013-10-09,70210
2013-10-10,70461
2013-10-11,70614
2013-10-12,70835
2013-10-13,70878
2013-10-14,70983
2013-10-15,71257
2013-10-16,71383
2013-10-17,71465
2013-10-18,71624
2013-10-19,71582
2013-10-20,71711
2013-10-21,71971
2013-10-22,72114
2013-10-23,72323
2013-10-24,72284
2013-10-25,72309
2013-10-26,72574
2013-10-27,72656
2013-10-28,72682
2013-10-29,72930
2013-10-30,73006
2013-10-31,72979
2013-11-01,73126
2013-11-02,73353
2013-11-03,73753
2013-11-04,73863
2013-11-05,73749
2013-11-06,73322
2013-11-07,73368
2013-11-08,73340
2013-11-09,73394
2013-11-10,73321
2013-11-11,73914
2013-11-12,74402
2013-11-13,74008
2013-11-14,74313
2013-11-15,74875
2013-11-16,75366
2013-11-17,75574
2013-11-18,76298
2013-11-19,76592
2013-11-20,77213
2013-11-21,76747
2013-11-22,77153
2013-11-23,77681
2013-11-24,77547
2013-11-25,78120
2013-11-26,78726
2013-11-27,79983
2013-11-28,82295
2013-11-29,83486
