t,distribution_balance_exchanges
2013-01-08,538.092517689999
2013-01-09,732.9625684599989
2013-01-10,1337.4122460699987
2013-01-11,1541.4813817999989
2013-01-12,2009.555243369999
2013-01-13,3211.784281789999
2013-01-14,739.3578954199991
2013-01-15,1374.865080959999
2013-01-16,961.7815392899988
2013-01-17,2759.970904249999
2013-01-18,1702.522959329999
2013-01-19,947.1016809599989
2013-01-20,988.584414949999
2013-01-21,1620.7848766799987
2013-01-22,4489.296494939999
2013-01-23,3139.3968234199992
2013-01-24,5531.324876579999
2013-01-25,3498.971382529999
2013-01-26,2394.9781896599993
2013-01-27,1490.415154759999
2013-01-28,1189.942915319999
2013-01-29,2374.661047769999
2013-01-30,830.1238250199995
2013-01-31,1655.6048274299997
2013-02-01,3734.1173113699997
2013-02-02,2818.6358099299996
2013-02-03,846.1558619599996
2013-02-04,1671.0365286799997
2013-02-05,1041.3670192599998
2013-02-06,1237.4560216599996
2013-02-07,1349.4439834099994
2013-02-08,1376.7969301599994
2013-02-09,3091.8068563599995
2013-02-10,2074.6198207899997
2013-02-11,2293.24531612
2013-02-12,3002.49725963
2013-02-13,5236.92873882
2013-02-14,4816.103027239999
2013-02-15,8030.11097867
2013-02-16,7533.32301091
2013-02-17,10700.896288439999
2013-02-18,11428.55848619
2013-02-19,9076.636642499998
2013-02-20,6709.836906009999
2013-02-21,9115.344946250001
2013-02-22,1756.6649453500013
2013-02-23,3263.061118470001
2013-02-24,1812.1259605600007
2013-02-25,14398.975100439999
2013-02-26,16853.908365709998
2013-02-27,16806.291412289997
2013-02-28,21719.15249122
2013-03-01,23931.682888850002
2013-03-02,26588.00458378
2013-03-03,16412.603471389997
2013-03-04,15979.6579684
2013-03-05,17423.680018679996
2013-03-06,21572.753168819996
2013-03-07,25375.560268409998
2013-03-08,24375.531972359997
2013-03-09,24506.38066615
2013-03-10,22817.356031659998
2013-03-11,16647.789795149998
2013-03-12,17146.827407110002
2013-03-13,14936.17418312
2013-03-14,15777.779708670001
2013-03-15,16132.524440030002
2013-03-16,15527.90519877
2013-03-17,15451.676805730001
2013-03-18,15642.44781647
2013-03-19,16543.372772439998
2013-03-20,18027.24227103
2013-03-21,17495.6827937
2013-03-22,17215.31443233
2013-03-23,19999.64392771
2013-03-24,19182.71862727
2013-03-25,19391.527732940005
2013-03-26,22124.862589890006
2013-03-27,15729.140879800005
2013-03-28,17265.09114422001
2013-03-29,16870.30187119001
2013-03-30,15244.557107750014
2013-03-31,13920.394156680013
2013-04-01,14301.417132820012
2013-04-02,14520.137390370013
2013-04-03,15417.073044010012
2013-04-04,16067.647706260015
2013-04-05,18636.70753915001
2013-04-06,19041.981311960008
2013-04-07,19734.09001833001
2013-04-08,21275.406088300013
2013-04-09,20308.08007467001
2013-04-10,25131.001607610007
2013-04-11,23091.62015147001
2013-04-12,19596.773138050008
2013-04-13,18716.832381770007
2013-04-14,21080.833963270004
2013-04-15,22156.897678410005
2013-04-16,24153.565958170006
2013-04-17,19182.853753400006
2013-04-18,19990.72432814
2013-04-19,21530.07759086
2013-04-20,22563.085100810003
2013-04-21,20488.50238274
2013-04-22,20503.5997402
2013-04-23,21408.340997280004
2013-04-24,20902.72374084
2013-04-25,21507.879379140002
2013-04-26,22260.71662144
2013-04-27,19398.01440947
2013-04-28,19748.619124989997
2013-04-29,19663.497736579993
2013-04-30,19588.446986389998
2013-05-01,20201.387809959997
2013-05-02,20773.985531109996
2013-05-03,21989.943662509995
2013-05-04,21552.351818509997
2013-05-05,22342.329456489995
2013-05-06,23093.82653187
2013-05-07,22791.041847899996
2013-05-08,23228.862441949997
2013-05-09,21968.353381179997
2013-05-10,22143.181353269996
2013-05-11,21519.874230449997
2013-05-12,22024.30790157
2013-05-13,21825.42960662
2013-05-14,22475.97560712
2013-05-15,24522.767412259996
2013-05-16,28879.806695389998
2013-05-17,30875.797837599996
2013-05-18,31485.504079819995
2013-05-19,32908.945035649995
2013-05-20,34203.08077056999
2013-05-21,34077.22946073998
2013-05-22,35717.31686753999
2013-05-23,33866.57571164999
2013-05-24,29490.984334189987
2013-05-25,29535.907070929985
2013-05-26,30272.047234349982
2013-05-27,31523.203077529986
2013-05-28,30405.190079639986
2013-05-29,31666.780855809986
2013-05-30,30540.855400899993
2013-05-31,27234.31830305999
2013-06-01,27660.77213818999
2013-06-02,25146.41194696999
2013-06-03,25580.888303289994
2013-06-04,23320.464174769993
2013-06-05,22941.44933147999
2013-06-06,23204.45832027999
2013-06-07,23741.16178632999
2013-06-08,25531.34132395999
2013-06-09,26816.671154679992
2013-06-10,26342.317639299996
2013-06-11,25597.885388209997
2013-06-12,25349.184745709998
2013-06-13,22463.820329009995
2013-06-14,22683.92776408
2013-06-15,22187.280585829998
2013-06-16,27567.041487979994
2013-06-17,27511.399269539994
2013-06-18,27801.619046139993
2013-06-19,28137.115621599994
2013-06-20,30728.16231757999
2013-06-21,32440.45325008999
2013-06-22,30134.808700119993
2013-06-23,30745.05457314999
