t,mining_hash_rate_mean
2015-01-22,291826051496295000
2015-01-23,261831948342206000
2015-01-24,274593096628051000
2015-01-25,270711278269444000
2015-01-26,269017800185874000
2015-01-27,311005241433930000
2015-01-28,327249826069426000
2015-01-29,325669794534414000
2015-01-30,278729092637982000
2015-01-31,332532086154331000
2015-02-01,308793926166811000
2015-02-02,317515741379273000
2015-02-03,255093160979075000
2015-02-04,318924112097801000
2015-02-05,324094902959263000
2015-02-06,350116261776570000
2015-02-07,318239926504023000
2015-02-08,269084672529665000
2015-02-09,326394669306739000
2015-02-10,317353743863723000
2015-02-11,341367387264868000
2015-02-12,269023803131886000
2015-02-13,314636118043071000
2015-02-14,353656192611133000
2015-02-15,297969435696890000
2015-02-16,348012184741399000
2015-02-17,323503816144496000
2015-02-18,356197313768776000
2015-02-19,360163821007079000
2015-02-20,341162781475564000
2015-02-21,311368312643492000
2015-02-22,330997174690265000
2015-02-23,323914874529468000
2015-02-24,298819477667767000
2015-02-25,355581780241545000
2015-02-26,342042970366091000
2015-02-27,345714987650339000
2015-02-28,323749132652683000
2015-03-01,321175978903103000
2015-03-02,361741591780734000
2015-03-03,356021794742666000
2015-03-04,324588951829399000
2015-03-05,295104516551891000
2015-03-06,342728702295209000
2015-03-07,318255634526151000
2015-03-08,352201877354108000
2015-03-09,327806383760845000
2015-03-10,352566262938125000
2015-03-11,359402962846267000
2015-03-12,300852040823684000
2015-03-13,342806413769494000
2015-03-14,306340100391908000
2015-03-15,335944446120838000
2015-03-16,323477074916047000
2015-03-17,296411873864439000
2015-03-18,351531379104744000
2015-03-19,316497745929548000
2015-03-20,317413007311690000
2015-03-21,350850008712132000
2015-03-22,331307118759555000
2015-03-23,325939083849122000
2015-03-24,397382003847330000
2015-03-25,373423051402918000
2015-03-26,340342580113737000
2015-03-27,391479371171536000
2015-03-28,347503410939478000
2015-03-29,348762874041289000
2015-03-30,320023692582492000
2015-03-31,342578220963743000
2015-04-01,301802047872830000
2015-04-02,378512423684477000
2015-04-03,330624127188054000
2015-04-04,346132200112866000
2015-04-05,356413980980407000
2015-04-06,305820698699579000
2015-04-07,363746685956322000
2015-04-08,307587380382417000
2015-04-09,320841641519786000
2015-04-10,361142216711132000
2015-04-11,337054203303137000
