t,addresses_count
2013-05-07,13083592
2013-05-08,13125024
2013-05-09,13168658
2013-05-10,13211260
2013-05-11,13252688
2013-05-12,13287402
2013-05-13,13324853
2013-05-14,13366655
2013-05-15,13408544
2013-05-16,13448474
2013-05-17,13486088
2013-05-18,13518779
2013-05-19,13549458
2013-05-20,13583537
2013-05-21,13624626
2013-05-22,13660686
2013-05-23,13703088
2013-05-24,13743494
2013-05-25,13775016
2013-05-26,13802782
2013-05-27,13834931
2013-05-28,13872173
2013-05-29,13912699
2013-05-30,13950998
2013-05-31,13988790
2013-06-01,14021815
2013-06-02,14051207
2013-06-03,14086598
2013-06-04,14124672
2013-06-05,14159311
2013-06-06,14195687
2013-06-07,14234982
2013-06-08,14263277
2013-06-09,14290075
2013-06-10,14321327
2013-06-11,14354350
2013-06-12,14385028
2013-06-13,14418877
2013-06-14,14462365
2013-06-15,14490141
2013-06-16,14514495
2013-06-17,14544456
2013-06-18,14577496
2013-06-19,14614158
2013-06-20,14650043
2013-06-21,14688119
2013-06-22,14718266
2013-06-23,14743414
2013-06-24,14776494
2013-06-25,14809181
2013-06-26,14842077
2013-06-27,14874572
2013-06-28,14913083
2013-06-29,14941926
2013-06-30,14966984
2013-07-01,15003248
2013-07-02,15037204
2013-07-03,15071788
2013-07-04,15103728
2013-07-05,15136087
2013-07-06,15162995
2013-07-07,15185915
2013-07-08,15220779
2013-07-09,15258077
2013-07-10,15293123
2013-07-11,15337599
2013-07-12,15387264
2013-07-13,15421178
2013-07-14,15444830
2013-07-15,15476079
2013-07-16,15513848
2013-07-17,15549165
2013-07-18,15583570
2013-07-19,15617084
2013-07-20,15643303
2013-07-21,15670911
2013-07-22,15704709
2013-07-23,15740191
2013-07-24,15775350
2013-07-25,15812528
2013-07-26,15847048
2013-07-27,15874218
2013-07-28,15900953
2013-07-29,15937730
2013-07-30,15978462
2013-07-31,16026569
2013-08-01,16109755
2013-08-02,16157551
2013-08-03,16193093
2013-08-04,16225452
2013-08-05,16269720
2013-08-06,16313398
2013-08-07,16359080
2013-08-08,16402849
2013-08-09,16441245
2013-08-10,16478430
