t,ma128,ma14,ma200,ma25,ma40,ma60,ma9,ma90
2011-11-16,7047106252033909.0,5158738734655563.0,5540019906946193.0,5527025675397160.0,5961553002497350.0,6435492756493447.0,5153132689584704.0,6844816546116457.0
2011-11-17,7034673320089661.0,5155375107613048.0,5563273452952937.0,5479661175122666.0,5908205572933243.0,6395196831423545.0,5147900380851902.0,6815553354998414.0
2011-11-18,7022240388145413.0,5152011480570533.0,5586526998959681.0,5432296674848173.0,5854858143369135.0,6354900906353641.0,5142668072119100.0,6786290163880371.0
2011-11-19,7009807456201165.0,5148647853528016.0,5609780544966424.0,5384932174573679.0,5801510713805026.0,6314604981283737.0,5137435763386297.0,6757026972762328.0
2011-11-20,6997374524256918.0,5145284226485501.0,5633034090973169.0,5337567674299185.0,5748163284240918.0,6274309056213834.0,5132203454653494.0,6727763781644287.0
2011-11-21,6984941592312670.0,5141920599442985.0,5656287636979912.0,5290203174024692.0,5694815854676810.0,6234013131143930.0,5126971145920692.0,6698500590526244.0
2011-11-22,6972508660368422.0,5138556972400469.0,5679541182986656.0,5242838673750198.0,5641468425112702.0,6193717206074027.0,5121738837187889.0,6669237399408201.0
2011-11-23,6960075728424174.0,5135193345357953.0,5702794728993400.0,5195474173475704.0,5611865612441144.0,6153421281004123.0,5121738837187889.0,6639974208290158.0
2011-11-24,6943352264847098.0,5131829718315437.0,5726048275000144.0,5148109673201210.0,5582262799769586.0,6113125355934220.0,5121738837187889.0,6610711017172116.0
2011-11-25,6926628801270021.0,5128466091272921.0,5748276477697221.0,5146226042057402.0,5552659987098027.0,6072829430864316.0,5121738837187889.0,6581447826054073.0
2011-11-26,6909905337692944.0,5125102464230405.0,5770504680394299.0,5144342410913592.0,5523057174426468.0,6037264477821577.0,5121738837187889.0,6552184634936030.0
2011-11-27,6893181874115867.0,5121738837187889.0,5792732883091378.0,5142458779769784.0,5493454361754910.0,6001699524778838.0,5121738837187889.0,6522921443817987.0
2011-11-28,6876458410538790.0,5121738837187889.0,5814961085788452.0,5140575148625975.0,5463851549083352.0,5966134571736100.0,5121738837187889.0,6494990950232745.0
2011-11-29,6856319707413797.0,5090513789892653.0,5835003535174861.0,5121205490996835.0,5423319969858462.0,5923283774324474.0,5073166541395300.0,6462203227068245.0
2011-11-30,6836181004288803.0,5059288742597417.0,5855045984561270.0,5101835833367693.0,5382788390633571.0,5880432976912847.0,5024594245602711.0,6429415503903744.0
2011-12-01,6816042301163810.0,5028063695302182.0,5875088433947680.0,5082466175738553.0,5342256811408681.0,5837582179501220.0,4976021949810123.0,6396627780739244.0
2011-12-02,6795903598038817.0,4996838648006946.0,5895130883334090.0,5063096518109412.0,5301725232183790.0,5794731382089594.0,4927449654017533.0,6363840057574743.0
2011-12-03,6775764894913823.0,4965613600711710.0,5915173332720500.0,5043726860480272.0,5261193652958900.0,5751880584677967.0,4878877358224945.0,6331052334410243.0
2011-12-04,6755626191788830.0,4934388553416475.0,5933353997838093.0,5024357202851132.0,5220662073734010.0,5709029787266340.0,4830305062432356.0,6298264611245742.0
2011-12-05,6735487488663837.0,4903163506121239.0,5951534662955685.0,5004987545221991.0,5180130494509119.0,5666178989854714.0,4781732766639768.0,6265476888081242.0
2011-12-06,6715348785538844.0,4871938458826004.0,5969715328073277.0,4985617887592851.0,5139598915284229.0,5623328192443087.0,4733160470847180.0,6232689164916741.0
2011-12-07,6688569965589185.0,4840713411530769.0,5987895993190870.0,4966248229963710.0,5099067336059338.0,5580477395031461.0,4684588175054591.0,6199901441752241.0
2011-12-08,6661791145639525.0,4809488364235533.0,6006076658308462.0,4946878572334570.0,5058535756834448.0,5537626597619835.0,4684588175054591.0,6167113718587740.0
2011-12-09,6635012325689867.0,4778263316940298.0,6024257323426057.0,4929392545849238.0,5018004177609558.0,5494775800208209.0,4684588175054591.0,6134325995423241.0
2011-12-10,6608233505740207.0,4747038269645062.0,6042437988543649.0,4911906519363906.0,5005898141591345.0,5451925002796582.0,4684588175054591.0,6101538272258740.0
2011-12-11,6581454685790548.0,4715813222349827.0,6060618653661243.0,4894420492878574.0,4993792105573132.0,5409074205384956.0,4684588175054591.0,6068750549094239.0
2011-12-12,6556834175957651.0,4704321296122134.0,6076083999569632.0,4887985014191066.0,4988592661928558.0,5370827802889089.0,4715284141159657.0,6040098966078885.0
2011-12-13,6532213666124755.0,4724054417189675.0,6091549345478022.0,4881549535503557.0,4983393218283986.0,5348411144988256.0,4745980107264722.0,6011447383063531.0
2011-12-14,6507593156291858.0,4743787538257218.0,6107014691386412.0,4875114056816049.0,4978193774639413.0,5325994487087422.0,4776676073369788.0,5982795800048177.0
2011-12-15,6482972646458961.0,4763520659324760.0,6122480037294801.0,4868678578128541.0,4972994330994840.0,5303577829186588.0,4807372039474853.0,5954144217032823.0
2011-12-16,6458352136626065.0,4783253780392302.0,6137945383203191.0,4862243099441032.0,4967794887350267.0,5281161171285755.0,4838068005579918.0,5925492634017469.0
2011-12-17,6433731626793168.0,4802986901459844.0,6153410729111580.0,4855807620753524.0,4962595443705694.0,5258744513384921.0,4868763971684984.0,5896841051002115.0
2011-12-18,6409111116960272.0,4822720022527386.0,6168876075019971.0,4849372142066015.0,4957396000061122.0,5236327855484087.0,4899459937790049.0,5868189467986761.0
2011-12-19,6384490607127376.0,4842453143594928.0,6184341420928361.0,4842936663378508.0,4952196556416550.0,5213911197583253.0,4930155903895115.0,5839537884971407.0
2011-12-20,6359870097294480.0,4862186264662470.0,6199806766836751.0,4836501184690999.0,4946997112771977.0,5191494539682420.0,4960851870000180.0,5810886301956053.0
2011-12-21,6338037486608453.0,4881919385730011.0,6215272112745142.0,4830065706003491.0,4941797669127404.0,5169077881781586.0,4960851870000180.0,5782234718940699.0
2011-12-22,6316204875922427.0,4901652506797553.0,6230737458653532.0,4823630227315982.0,4936598225482831.0,5146661223880753.0,4960851870000180.0,5753583135925345.0
2011-12-23,6294372265236399.0,4921385627865095.0,6243359697603210.0,4817194748628474.0,4931398781838258.0,5124244565979919.0,4960851870000180.0,5724931552909991.0
2011-12-24,6272539654550372.0,4941118748932637.0,6255981936552887.0,4828245296426297.0,4927376607658566.0,5101827908079085.0,4960851870000180.0,5696279969894637.0
2011-12-25,6250707043864346.0,4960851870000178.0,6268604175502566.0,4839295844224120.0,4923354433478873.0,5079411250178252.0,4960851870000180.0,5667628386879283.0
2011-12-26,6229038553383352.0,4962352397589056.0,6281331451383465.0,4851186687471715.0,4919857443955287.0,5057344715381489.0,4963186024027323.0,5642364200618086.0
2011-12-27,6207370062902358.0,4963852925177933.0,6294058727264365.0,4863077530719309.0,4916360454431701.0,5035278180584726.0,4965520178054464.0,5617100014356890.0
2011-12-28,6185701572421365.0,4965353452766810.0,6306786003145265.0,4874968373966904.0,4912863464908115.0,5013211645787964.0,4967854332081607.0,5591835828095693.0
2011-12-29,6164033081940371.0,4966853980355687.0,6319513279026163.0,4886859217214499.0,4909366475384529.0,4991145110991201.0,4970188486108748.0,5566571641834496.0
2011-12-30,6142364591459377.0,4968354507944565.0,6332240554907062.0,4898750060462093.0,4905869485860942.0,4988028938332223.0,4972522640135892.0,5541307455573298.0
2011-12-31,6120696100978383.0,4969855035533441.0,6344967830787960.0,4910640903709688.0,4902372496337356.0,4984912765673246.0,4974856794163033.0,5516043269312102.0
2012-01-01,6099027610497389.0,4971355563122319.0,6351044672720579.0,4922531746957283.0,4898875506813770.0,4981796593014269.0,4977190948190176.0,5490779083050905.0
2012-01-02,6077359120016395.0,4972856090711195.0,6357121514653197.0,4934422590204877.0,4895378517290184.0,4978680420355291.0,4979525102217317.0,5465514896789707.0
2012-01-03,6055690629535402.0,4974356618300073.0,6363198356585816.0,4946313433452472.0,4891881527766598.0,4975564247696314.0,4981859256244460.0,5440250710528511.0
2012-01-04,6034022139054408.0,4975857145888951.0,6369275198518435.0,4958204276700067.0,4888384538243012.0,4972448075037337.0,4981859256244460.0,5414986524267314.0
2012-01-05,6013290701526165.0,4977357673477829.0,6375352040451053.0,4970095119947661.0,4884887548719426.0,4969331902378358.0,4981859256244460.0,5389722338006116.0
2012-01-06,5992559263997922.0,4978858201066706.0,6381428882383671.0,4970935415397433.0,4881390559195840.0,4966215729719381.0,4981859256244460.0,5364458151744919.0
2012-01-07,5971827826469679.0,4980358728655584.0,6387505724316289.0,4971775710847204.0,4877893569672254.0,4963099557060404.0,4981859256244460.0,5339193965483723.0
2012-01-08,5954144079012992.0,5009723851184398.0,6395533087894703.0,4988220179463340.0,4895077954930978.0,4966485123220746.0,5025204181706583.0,5318264271768738.0
2012-01-09,5936460331556304.0,5037588446124333.0,6403560451473116.0,5004664648079475.0,4912262340189702.0,4969870689381086.0,5068549107168704.0,5297334578053753.0
2012-01-10,5918776584099616.0,5065453041064269.0,6400802340535959.0,5021109116695611.0,4929446725448427.0,4973256255541427.0,5111894032630827.0,5276404884338768.0
2012-01-11,5901092836642929.0,5093317636004205.0,6398044229598802.0,5037553585311747.0,4946631110707152.0,4976641821701769.0,5155238958092949.0,5255475190623784.0
2012-01-12,5883409089186241.0,5121182230944141.0,6395286118661644.0,5053998053927882.0,4963815495965877.0,4980027387862110.0,5198583883555072.0,5245098659972154.0
2012-01-13,5865725341729554.0,5149046825884077.0,6392528007724486.0,5070442522544018.0,4980999881224602.0,4984197800332371.0,5241928809017195.0,5234722129320525.0
2012-01-14,5848041594272866.0,5176911420824011.0,6389769896787329.0,5086886991160153.0,4998184266483326.0,4988368212802633.0,5285273734479316.0,5224345598668895.0
2012-01-15,5830357846816179.0,5204776015763947.0,6387011785850171.0,5103331459776289.0,5015368651742051.0,4992538625272894.0,5328618659941438.0,5213969068017266.0
2012-01-16,5812674099359491.0,5232640610703882.0,6384253674913014.0,5119775928392424.0,5032553037000775.0,4996709037743154.0,5371963585403560.0,5203592537365636.0
2012-01-17,5794990351902803.0,5260505205643818.0,6381495563975855.0,5136220397008559.0,5049737422259500.0,5000879450213415.0,5371963585403560.0,5193216006714006.0
2012-01-18,5777306604446116.0,5288369800583753.0,6378737453038697.0,5152664865624694.0,5066921807518225.0,5005049862683677.0,5371963585403560.0,5182839476062377.0
2012-01-19,5760372770415033.0,5316234395523689.0,6375979342101539.0,5169109334240830.0,5084106192776950.0,5009220275153938.0,5371963585403560.0,5172462945410747.0
2012-01-20,5743438936383951.0,5344098990463624.0,6373221231164381.0,5184713507407194.0,5101290578035674.0,5013390687624199.0,5371963585403560.0,5162086414759118.0
2012-01-21,5726505102352868.0,5371963585403560.0,6370463120227223.0,5200317680573558.0,5111568370920759.0,5017561100094461.0,5371963585403560.0,5151709884107488.0
2012-01-22,5711482885161181.0,5389441225078032.0,6364980602301196.0,5225709331957626.0,5127963337691908.0,5025809628488765.0,5399151024897182.0,5144052097405220.0
2012-01-23,5696460667969493.0,5406918864752503.0,6359498084375168.0,5251100983341693.0,5144358304463057.0,5034058156883069.0,5426338464390804.0,5136394310702953.0
2012-01-24,5681438450777806.0,5424396504426974.0,6354015566449140.0,5276492634725760.0,5160753271234205.0,5042306685277373.0,5453525903884427.0,5128736524000685.0
