t,volumes
2013-01-30,"{'SlushPool': 4.0522253, 'other': 8.46138049775732}"
2013-01-31,"{'SlushPool': 2.45584473, 'other': 5.31327394374606}"
2013-02-01,"{'SlushPool': 1.34603991, 'other': 7.39773297576147}"
2013-02-02,"{'BitMinter': 1.01239214, 'SlushPool': 10.51196308, 'other': 10.9076372527531}"
2013-02-03,"{'SlushPool': 5.12500746, 'other': 11.169}"
2013-02-04,"{'SlushPool': 1.77836807, 'other': 3.80038872037716}"
2013-02-05,"{'SlushPool': 3.70516998, 'other': 4.29834045062461}"
2013-02-06,"{'SlushPool': 1.96011546, 'other': 12.9554167261396}"
2013-02-07,"{'SlushPool': 1.42560003, 'other': 5.12874944534962}"
2013-02-08,"{'BitMinter': 0.00148246, 'SlushPool': 2.47842173, 'other': 13.0124030518606}"
2013-02-09,"{'SlushPool': 4.90727273, 'other': 24.16017624}"
2013-02-10,"{'BitMinter': 0.0017666, 'SlushPool': 1.79480687, 'other': 62.5325713038339}"
2013-02-11,"{'SlushPool': 3.56446822, 'other': 54.4945015534228}"
2013-02-12,"{'BitMinter': 0.0014957, 'SlushPool': 1.20627924, 'other': 4.01947422031596}"
2013-02-13,"{'BitMinter': 0.00516746, 'SlushPool': 4.49666762, 'other': 6.52625637433136}"
2013-02-14,"{'BitMinter': 0.00140465, 'SlushPool': 7.09798613, 'other': 2.57184651004363}"
2013-02-15,"{'BitMinter': 0.00126487, 'SlushPool': 3.78129905, 'other': 79.2476952336875}"
2013-02-16,"{'SlushPool': 1.30322953, 'other': 5.70260797004005}"
2013-02-17,"{'BitMinter': 0.00336153, 'SlushPool': 3.12989945, 'other': 9.06742391851567}"
2013-02-18,"{'SlushPool': 5.80322455, 'other': 5.84784788735433}"
2013-02-19,"{'SlushPool': 4.89137362, 'other': 36.9872788323274}"
2013-02-20,"{'BitMinter': 0.00113518, 'SlushPool': 1.36345849, 'other': 4.45304800801266}"
2013-02-21,"{'BitMinter': 0.00112744, 'SlushPool': 2.70609665, 'other': 8.97231234150829}"
2013-02-22,"{'BitMinter': 0.10092931, 'SlushPool': 2.19033991, 'other': 3.98557437250009}"
2013-02-23,"{'SlushPool': 2.50478104, 'other': 20.4715025951609}"
2013-02-24,"{'BitMinter': 0.0029654, 'SlushPool': 4.04270465, 'other': 9.05178342453717}"
2013-02-25,"{'BitMinter': 0.001743, 'SlushPool': 6.08887681, 'other': 9.31128790325125}"
2013-02-26,"{'SlushPool': 5.88558983, 'other': 40.2845166618976}"
2013-02-27,"{'SlushPool': 2.54413514, 'other': 29.4189947179353}"
2013-02-28,"{'BitMinter': 0.00246128, 'SlushPool': 1.20260424, 'other': 16.5922305851591}"
2013-03-01,"{'BitMinter': 0.00138249, 'SlushPool': 4.99743248, 'other': 28.4380210109249}"
2013-03-02,"{'BitMinter': 0.10130048, 'SlushPool': 3.8501199, 'other': 13.0316137798805}"
2013-03-03,"{'SlushPool': 3.84222609, 'other': 4.94917913580098}"
2013-03-04,"{'BitMinter': 0.00943657, 'SlushPool': 7.46040911, 'other': 34.4073135411564}"
2013-03-05,"{'BitMinter': 0.00104531, 'SlushPool': 1.37468972, 'other': 16.2028635313939}"
2013-03-06,"{'BitMinter': 0.00710422, 'SlushPool': 7.01948665, 'other': 28.2112995392239}"
2013-03-07,"{'SlushPool': 2.05652388, 'other': 225.321405765071}"
2013-03-08,"{'BitMinter': 0.00703794, 'SlushPool': 4.42227517, 'other': 3.30476516913478}"
2013-03-09,"{'SlushPool': 3.26064381, 'other': 3.45215434226369}"
2013-03-10,"{'SlushPool': 3.26630828, 'other': 10.850003155597}"
2013-03-11,"{'BitMinter': 0.00862421, 'SlushPool': 12.40249153, 'other': 14.343676651153}"
2013-03-12,"{'SlushPool': 3.20909891, 'other': 109.898957947741}"
2013-03-13,"{'BitMinter': 0.30688539, 'SlushPool': 8.46203718, 'other': 6.93466162065388}"
2013-03-14,"{'BitMinter': 0.01188475, 'SlushPool': 2.92301617, 'other': 190.66816426509}"
2013-03-15,"{'BitMinter': 0.00872822, 'SlushPool': 1.83277378, 'other': 6.26751806379763}"
2013-03-16,"{'BitMinter': 0.01381508, 'SlushPool': 1.00403746, 'other': 15.29903526672}"
2013-03-17,"{'BitMinter': 0.00581496, 'SlushPool': 5.61444169, 'other': 29.680600002133}"
2013-03-18,"{'BitMinter': 0.00566647, 'SlushPool': 9.09502241, 'other': 19.9217056466821}"
2013-03-19,"{'BitMinter': 0.00632417, 'SlushPool': 4.44385532, 'other': 16.0352357379426}"
2013-03-20,"{'SlushPool': 4.92922072, 'other': 19.8315904355456}"
2013-03-21,"{'BitMinter': 0.02021412, 'SlushPool': 4.0879329, 'other': 217.939736427806}"
2013-03-22,"{'BitMinter': 0.00577195, 'SlushPool': 7.26176306, 'other': 33.9601229242772}"
2013-03-23,"{'BitMinter': 0.06245149, 'SlushPool': 3.25917647, 'other': 52.6400315605945}"
2013-03-24,"{'SlushPool': 4.9317854, 'other': 67.9445311155035}"
2013-03-25,"{'SlushPool': 3.7848983, 'other': 21.6058353167226}"
2013-03-26,"{'BitMinter': 0.00756855, 'SlushPool': 3.41616484, 'other': 46.9023858386333}"
2013-03-27,"{'BitMinter': 0.00533498, 'SlushPool': 3.80142904, 'other': 66.4250891546189}"
2013-03-28,"{'BitMinter': 0.00414151, 'SlushPool': 3.07746984, 'other': 91.637616294684}"
2013-03-29,"{'SlushPool': 2.44314238, 'other': 9.74694501001216}"
2013-03-30,"{'BitMinter': 0.10823806, 'SlushPool': 4.52362935, 'other': 10.5148183724145}"
2013-03-31,"{'BitMinter': 0.06270887, 'SlushPool': 4.08477516, 'other': 33.1905444965716}"
2013-04-01,"{'BitMinter': 0.01373381, 'SlushPool': 4.5249899, 'other': 24.5672795946309}"
2013-04-02,"{'BitMinter': 0.01072914, 'SlushPool': 4.55296906, 'other': 8.16590788569249}"
2013-04-03,"{'BitMinter': 0.01226063, 'SlushPool': 5.0475489, 'other': 42.3850043175864}"
2013-04-04,"{'BitMinter': 3.49515844, 'SlushPool': 1.09657357, 'other': 74.9901286075338}"
2013-04-05,"{'BitMinter': 0.0634253, 'SlushPool': 1.24427182, 'other': 398.444451616482}"
2013-04-06,"{'SlushPool': 12.17229562, 'other': 3.39430231733991}"
2013-04-07,"{'BitMinter': 0.00283467, 'SlushPool': 3.07491075, 'other': 7.14491077942828}"
2013-04-08,"{'BitMinter': 0.06677548, 'SlushPool': 2.8963412, 'other': 32.2256158711238}"
2013-04-09,"{'BitMinter': 0.01290835, 'SlushPool': 6.85341681, 'other': 144.308694554788}"
2013-04-10,"{'BitMinter': 1.09203523, 'SlushPool': 21.98696276, 'other': 583.077816019055}"
2013-04-11,"{'BitMinter': 0.05331047, 'SlushPool': 8.72734545, 'other': 33.6505784408085}"
2013-04-12,"{'BitMinter': 0.03599193, 'SlushPool': 2.30747912, 'other': 165.483165937516}"
2013-04-13,"{'BitMinter': 0.02294469, 'SlushPool': 8.65076789, 'other': 3.88606115267346}"
2013-04-14,"{'BitMinter': 0.08732519, 'SlushPool': 8.07461488, 'other': 37.0094622005621}"
