t,transactions_entity_adjusted_count
2012-07-16,17427
2012-07-17,19347
2012-07-18,16001
2012-07-19,16718
2012-07-20,20948
2012-07-21,20150
2012-07-22,20753
2012-07-23,20634
2012-07-24,19441
2012-07-25,19373
2012-07-26,17382
2012-07-27,15670
2012-07-28,20469
2012-07-29,17488
2012-07-30,17402
2012-07-31,28468
2012-08-01,20982
2012-08-02,21141
2012-08-03,18566
2012-08-04,18453
2012-08-05,20321
2012-08-06,22312
2012-08-07,19941
2012-08-08,23990
2012-08-09,19876
2012-08-10,19529
2012-08-11,19506
2012-08-12,21010
2012-08-13,30026
2012-08-14,20191
2012-08-15,28924
2012-08-16,30117
2012-08-17,27816
2012-08-18,25251
2012-08-19,21558
2012-08-20,21017
2012-08-21,25927
2012-08-22,24854
2012-08-23,21732
2012-08-24,21343
2012-08-25,18828
2012-08-26,17813
2012-08-27,19347
2012-08-28,18235
2012-08-29,21447
2012-08-30,17964
2012-08-31,25139
2012-09-01,21701
2012-09-02,18548
2012-09-03,17702
2012-09-04,21765
2012-09-05,21814
2012-09-06,23132
2012-09-07,21722
2012-09-08,18037
2012-09-09,20045
2012-09-10,19743
2012-09-11,22489
2012-09-12,17868
2012-09-13,17789
2012-09-14,18372
2012-09-15,16074
2012-09-16,16200
2012-09-17,16308
2012-09-18,19896
2012-09-19,20956
2012-09-20,22080
2012-09-21,17050
2012-09-22,13565
2012-09-23,15079
2012-09-24,16353
2012-09-25,19239
2012-09-26,22076
2012-09-27,19500
2012-09-28,23012
2012-09-29,17104
2012-09-30,14118
2012-10-01,16209
2012-10-02,22627
2012-10-03,18997
2012-10-04,19660
2012-10-05,19618
2012-10-06,16724
2012-10-07,17763
2012-10-08,19788
2012-10-09,20472
2012-10-10,18531
2012-10-11,18114
2012-10-12,17598
2012-10-13,17200
2012-10-14,16521
2012-10-15,19076
2012-10-16,19757
2012-10-17,20326
2012-10-18,19872
2012-10-19,16819
2012-10-20,17616
2012-10-21,18602
2012-10-22,19693
2012-10-23,17918
2012-10-24,19414
2012-10-25,18010
2012-10-26,16603
2012-10-27,12571
2012-10-28,12768
2012-10-29,13363
2012-10-30,16657
2012-10-31,16006
2012-11-01,14352
2012-11-02,14490
2012-11-03,14882
2012-11-04,14801
2012-11-05,17802
2012-11-06,17904
2012-11-07,18725
2012-11-08,16301
2012-11-09,15459
2012-11-10,15329
2012-11-11,13873
2012-11-12,14482
2012-11-13,15587
2012-11-14,16727
2012-11-15,20154
2012-11-16,21422
2012-11-17,18520
2012-11-18,18377
2012-11-19,18601
2012-11-20,19950
2012-11-21,19557
2012-11-22,18790
2012-11-23,20231
2012-11-24,19556
2012-11-25,19840
2012-11-26,20193
2012-11-27,17027
2012-11-28,21620
2012-11-29,17672
2012-11-30,17228
2012-12-01,18494
2012-12-02,13017
2012-12-03,13822
2012-12-04,18358
2012-12-05,18294
2012-12-06,20442
2012-12-07,16754
2012-12-08,16665
2012-12-09,15402
2012-12-10,24515
2012-12-11,18676
2012-12-12,20156
2012-12-13,21048
2012-12-14,21074
2012-12-15,17602
2012-12-16,18706
2012-12-17,21119
2012-12-18,24232
2012-12-19,19815
2012-12-20,18455
2012-12-21,20664
2012-12-22,25693
2012-12-23,18521
2012-12-24,18473
2012-12-25,15167
2012-12-26,15036
2012-12-27,19130
2012-12-28,23573
2012-12-29,19794
2012-12-30,25068
2012-12-31,17667
2013-01-01,17240
2013-01-02,21639
2013-01-03,22559
2013-01-04,21798
2013-01-05,23319
2013-01-06,19282
2013-01-07,23004
2013-01-08,22460
2013-01-09,23972
2013-01-10,25608
2013-01-11,26866
2013-01-12,23323
2013-01-13,23968
2013-01-14,20141
2013-01-15,25980
2013-01-16,27201
2013-01-17,26678
2013-01-18,26052
2013-01-19,28403
2013-01-20,22390
2013-01-21,21617
2013-01-22,23165
2013-01-23,24712
2013-01-24,25040
2013-01-25,25423
2013-01-26,26346
2013-01-27,27072
2013-01-28,26105
2013-01-29,25820
2013-01-30,22729
2013-01-31,25281
2013-02-01,32576
2013-02-02,28104
2013-02-03,27418
2013-02-04,27216
2013-02-05,28676
2013-02-06,23807
2013-02-07,29339
2013-02-08,30747
2013-02-09,30133
2013-02-10,28288
2013-02-11,26714
2013-02-12,27989
2013-02-13,25750
2013-02-14,22569
2013-02-15,27265
2013-02-16,20925
2013-02-17,23613
2013-02-18,23972
2013-02-19,26186
2013-02-20,26119
2013-02-21,24763
2013-02-22,30246
2013-02-23,27107
2013-02-24,26552
2013-02-25,28366
2013-02-26,30275
2013-02-27,27820
2013-02-28,29675
2013-03-01,34078
2013-03-02,27039
2013-03-03,24798
2013-03-04,27879
2013-03-05,29101
2013-03-06,34672
2013-03-07,34135
2013-03-08,25077
2013-03-09,25780
2013-03-10,28996
2013-03-11,23131
2013-03-12,25254
2013-03-13,28035
2013-03-14,28956
2013-03-15,33069
2013-03-16,24191
2013-03-17,21506
2013-03-18,25992
2013-03-19,29737
2013-03-20,27539
2013-03-21,31049
2013-03-22,37235
2013-03-23,29917
2013-03-24,28555
2013-03-25,30052
2013-03-26,31405
2013-03-27,34944
2013-03-28,39250
2013-03-29,38519
2013-03-30,35106
2013-03-31,27116
2013-04-01,30988
2013-04-02,39473
2013-04-03,42709
2013-04-04,47712
2013-04-05,41185
2013-04-06,32882
2013-04-07,40586
2013-04-08,41111
2013-04-09,49250
2013-04-10,54631
2013-04-11,52771
2013-04-12,42630
2013-04-13,35056
2013-04-14,36407
2013-04-15,35837
2013-04-16,39493
2013-04-17,35080
2013-04-18,29870
2013-04-19,37651
2013-04-20,30037
2013-04-21,26023
2013-04-22,29736
2013-04-23,36413
2013-04-24,38586
2013-04-25,37977
2013-04-26,33893
2013-04-27,27263
2013-04-28,26602
2013-04-29,28565
2013-04-30,29674
2013-05-01,34921
2013-05-02,33304
2013-05-03,32985
2013-05-04,27469
2013-05-05,28976
2013-05-06,29042
2013-05-07,31434
2013-05-08,30068
2013-05-09,32771
2013-05-10,31325
2013-05-11,27964
2013-05-12,27533
2013-05-13,30566
2013-05-14,33026
2013-05-15,32018
2013-05-16,32221
2013-05-17,31060
2013-05-18,27871
2013-05-19,23726
2013-05-20,27605
2013-05-21,30167
2013-05-22,28998
2013-05-23,31711
2013-05-24,31628
2013-05-25,25332
2013-05-26,24419
2013-05-27,27596
2013-05-28,31258
2013-05-29,32862
2013-05-30,31458
2013-05-31,30905
2013-06-01,27209
2013-06-02,26120
2013-06-03,28951
2013-06-04,30762
2013-06-05,29243
2013-06-06,30983
2013-06-07,29430
2013-06-08,22461
2013-06-09,23528
2013-06-10,23957
2013-06-11,26884
2013-06-12,25628
2013-06-13,26776
2013-06-14,29260
2013-06-15,21792
2013-06-16,21095
2013-06-17,25273
2013-06-18,28711
2013-06-19,28309
2013-06-20,28608
2013-06-21,28603
2013-06-22,23009
2013-06-23,20757
2013-06-24,26879
2013-06-25,26649
2013-06-26,26690
2013-06-27,27299
2013-06-28,29202
2013-06-29,22435
2013-06-30,19914
2013-07-01,26046
2013-07-02,25781
2013-07-03,25094
2013-07-04,24471
2013-07-05,24115
2013-07-06,20418
2013-07-07,18017
2013-07-08,24953
2013-07-09,25216
2013-07-10,25346
2013-07-11,29748
2013-07-12,31774
2013-07-13,23179
2013-07-14,19470
2013-07-15,24048
2013-07-16,26893
2013-07-17,25475
2013-07-18,26067
2013-07-19,23790
2013-07-20,19790
2013-07-21,19714
2013-07-22,24296
2013-07-23,25804
2013-07-24,28478
2013-07-25,27171
2013-07-26,24541
2013-07-27,21414
2013-07-28,23166
2013-07-29,27097
2013-07-30,27398
2013-07-31,30170
2013-08-01,31131
2013-08-02,29368
2013-08-03,25584
2013-08-04,22042
2013-08-05,27649
2013-08-06,27118
2013-08-07,30700
2013-08-08,29360
2013-08-09,25390
