t,o
2010-07-05,"{'crossed': 0, 'ma30': 145234898.9458724, 'ma60': 124020393.52823827}"
2010-07-06,"{'crossed': 0, 'ma30': 147449726.0735757, 'ma60': 125754148.64704713}"
2010-07-07,"{'crossed': 0, 'ma30': 149169456.36842582, 'ma60': 127101592.25756802}"
2010-07-08,"{'crossed': 0, 'ma30': 150682006.2743401, 'ma60': 128553505.45447375}"
2010-07-09,"{'crossed': 0, 'ma30': 154028493.7931526, 'ma60': 131009114.76989986}"
2010-07-10,"{'crossed': 0, 'ma30': 157567519.5512939, 'ma60': 133640724.63535391}"
2010-07-11,"{'crossed': 0, 'ma30': 159758798.46008623, 'ma60': 135815461.35731494}"
2010-07-12,"{'crossed': 0, 'ma30': 178118056.10766533, 'ma60': 145531943.41110265}"
2010-07-13,"{'crossed': 0, 'ma30': 209227689.7485567, 'ma60': 162250861.1601054}"
2010-07-14,"{'crossed': 0, 'ma30': 245772474.46241102, 'ma60': 181793646.5018503}"
2010-07-15,"{'crossed': 0, 'ma30': 284550026.3234469, 'ma60': 202565130.92656514}"
2010-07-16,"{'crossed': 0, 'ma30': 327928460.3334506, 'ma60': 224902438.06167793}"
2010-07-17,"{'crossed': 0, 'ma30': 375358447.67024904, 'ma60': 248911994.7178637}"
2010-07-18,"{'crossed': 0, 'ma30': 423692408.880793, 'ma60': 273448685.97863114}"
2010-07-19,"{'crossed': 0, 'ma30': 470375977.50616366, 'ma60': 297006580.6823501}"
2010-07-20,"{'crossed': 0, 'ma30': 518812361.4055397, 'ma60': 322039800.50042284}"
2010-07-21,"{'crossed': 0, 'ma30': 575721074.5715506, 'ma60': 350774529.4499147}"
2010-07-22,"{'crossed': 0, 'ma30': 617861071.1598442, 'ma60': 371999634.1805445}"
2010-07-23,"{'crossed': 0, 'ma30': 670245896.7510853, 'ma60': 399017128.48027587}"
2010-07-24,"{'crossed': 0, 'ma30': 721354961.8151193, 'ma60': 425034109.40692824}"
2010-07-25,"{'crossed': 0, 'ma30': 786072336.7113062, 'ma60': 457580542.86803204}"
2010-07-26,"{'crossed': 0, 'ma30': 854454744.0368731, 'ma60': 492362633.78840715}"
2010-07-27,"{'crossed': 0, 'ma30': 908434989.6134871, 'ma60': 519981486.1619797}"
2010-07-28,"{'crossed': 0, 'ma30': 964079739.6163785, 'ma60': 548181209.9595764}"
2010-07-29,"{'crossed': 0, 'ma30': 1028272043.6284539, 'ma60': 580969824.9113133}"
2010-07-30,"{'crossed': 0, 'ma30': 1094977753.0183747, 'ma60': 615278971.0791779}"
2010-07-31,"{'crossed': 0, 'ma30': 1170293940.768279, 'ma60': 654406183.8912754}"
2010-08-01,"{'crossed': 0, 'ma30': 1262162987.3110871, 'ma60': 700748594.2342008}"
